"","clues","answers"
"1","Arrogant expression of opinion ","DOGMA"
"2","It's a long story ","NOVELLA"
"3","Bring to a boil ","ENRAGE"
"4","Lady's maid ","ABIGAIL"
"5","Breakwater ","SEAWALL"
"6","C.E.O.'s ","TOPGUNS"
"7","An end to sex? ","ISM"
"8","Sponges ","LEECHES"
"9","""America's longest-lasting car"" ","REO"
"10","Party animal? ","STAG"
"11","World book ","ATLAS"
"12","Cairn ","HEAP"
"13","Humped, in Hornsey ","TOTED"
"14","Last word of Kipling's ""If"" ","SON"
"15","Promenades ","MALLS"
"16","Picnic favorite ","POTATOSALAD"
"17","Valentino was one ","MATINEEIDOL"
"18","Intimate ","BOSOM"
"19","Coping device ","SAW"
"20","Staff notes ","MEMOS"
"21","League member ","ARAB"
"22","Drops a line ","DELES"
"23","Disport ","ROMP"
"24","Jaye's ""The Crying Game"" role ","DIL"
"25","Dresses to kill ","DOLLSUP"
"26","Jazz grp. ","NBA"
"27","Take away by truck ","HAULOFF"
"28","Dan Patch, for a famous example ","TROTTER"
"29","Math figure ","ANTILOG"
"30","Mae West wearers ","FLIERS"
"31","Eminent composer ","MAESTRO"
"32","Mount ","STAGE"
"33","Forbear ","DESIST"
"34","Like some shopping ","ONESTOP"
"35","Chemist's unit ","GRAMATOM"
"36","Crop ","MAW"
"37","""The Day of the Locust"" author ","NATHANAELWEST"
"38","Modern shawms ","OBOES"
"39","High muck-a-mucks ","VIPS"
"40","It runs when broken ","EGG"
"41","""Way Out West"" costar ","LAUREL"
"42","Hereditary ","LINEAL"
"43","""We Accuse"" coauthors ","ALSOPS"
"44","Where Zeno and Parmenides taught ","ELEA"
"45","Deteriorates ","LETSONESELFGO"
"46","Strike on the outside corner, e.g. ","CLOSECALL"
"47","Entertained at home ","HADOVER"
"48","Small quantity of dope? ","DATUM"
"49","Dear ___ (letter start) ","MADAM"
"50","Soldier's leader ","TIN"
"51","First U.N. Secretary General ","LIE"
"52","Popular throat soother ","LEMONTEA"
"53","""Stouthearted Men"" composer ","ROMBERG"
"54","""Saturday Night Fever"" director John ","BADHAM"
"55","Epithet for Elizabeth I ","ORIANA"
"56","General courtesy? ","SALUTE"
"57","Exiguous ","SPARSE"
"58","Serve ","DOFOR"
"59","Sound swell? ","SURF"
"60","Yo-yo ","DOLT"
"61","Hustings figures ","POLS"
"62","Lille lily ","LIS"
"63","Kind of mouse ","TIT"
