"","clues","answers"
"1","Personal things? ","ADS"
"2","It's full of roots ","SCALP"
"3","Rocky Mtn. highs? ","ALTS"
"4","Takes home ","NETS"
"5","___ Maar (Picasso mistress and subject) ","DORA"
"6","Some Havanans ","AFROCUBANS"
"7","Actor Morales ","ESAI"
"8","Round rolls ","BIALIES"
"9","Sentimentality ","GOO"
"10","Outer limit ","END"
"11","Pizza topping ","ONION"
"12","One that's over due? ","TRE"
"13","Author ___ Yutang ","LIN"
"14","""Independence Day"" actor ","QUAID"
"15","Fleetwood Mac's ""Walk ___ Line"" ","ATHIN"
"16","Mason attachment ","ITE"
"17","Commercial prefix for many cold-weather products ","SNO"
"18","Comic actor John ","CLEESE"
"19","Like a shake roof ","CEDARED"
"20","Mollycoddles ","COSSETS"
"21","Military demolitions expert ","SAPPER"
"22","Shoot the breeze ","JAW"
"23","Take a bough ","LOP"
"24","Nursery items ","TREES"
"25","Monthly service ","CABLE"
"26","Trip ","ERR"
"27","French story ","ETAGE"
"28","Long ___ ","AGO"
"29","Millionths of a meter ","MICRA"
"30","Singer Ocasek of the Cars ","RIC"
"31","Old-fashioned contraction ","TIS"
"32","___ one's welcome ","OUTSTAY"
"33","Noted name in newspapering ","OCHS"
"34","Hospital helper ","NURSESAIDE"
"35","""___ Three Lives"" (TV oldie) ","ILED"
"36","""The Pirates of Penzance"" heroine ","MABEL"
"37","Roulette bet ","NOIR"
"38","___ Jr. (acting son, familiarly) ","DESI"
"39","Beethoven dedicatee ","ELISE"
"40","Antis ","NOS"
"41","Body builder? ","ANABOLICSTEROID"
"42","Infant's dessert, maybe ","STRAINEDPEACHES"
"43","""Leaving Las Vegas"" co-star ","SHUE"
"44","Hack's place ","CABSTAND"
"45","Palindromic title ","AGA"
"46","Took a stab at? ","LUNGED"
"47","Colombian coin ","PESO"
"48","""The Sultan of Sulu"" writer ","ADE"
"49","Fall short in votes ","LOSETHEELECTION"
"50","Hoped for salvation ","SAIDONESPRAYERS"
"51","Whist variety ","SOLO"
"52","Roulette bet ","CINQ"
"53","They're all talk ","ORALS"
"54","Chemical suffixes ","ATES"
"55","Mouse manipulator ","USER"
"56","Hood ","COWL"
"57","Take down ___ ","APEG"
"58","Right, in a way ","RESET"
"59","Crews' quarters ","CABOOSES"
"60","Bender ","JAG"
"61","Invitation notation ","CASUAL"
"62","CPR pros ","EMTS"
"63","""No man ___..."" ","ISAN"
"64","Ubangi tributary ","UELE"
"65","Diamond stat. ","RBI"
