"","clues","answers"
"1","Swedish flag symbol ","CROSS"
"2","Computer unit ","BYTE"
"3","They take pics ","CAMS"
"4","Musical speed ","TEMPO"
"5","Rod attachment ","REEL"
"6","Cheers for el matador ","OLES"
"7","Comic Williams appears in commercials ","ROBINHAWKS"
"8","Knowledgeable about ","UPON"
"9","Golfer Tom gulps ","KITESWALLOWS"
"10","Job parameters, for short ","SPECS"
"11","""That is ___ commentary ..."" ","ASAD"
"12","Gripped ","HELD"
"13","Store runner: Abbr. ","MGR"
"14","""___ Hope"" (old soap opera) ","RYANS"
"15","Form of ""to be"" ","ARE"
"16","Entry in an ice-skating competition ","PAIR"
"17","People wonder if it'll play there ","PEORIA"
"18","Globetrotter Lemon avoids a punch ","MEADOWLARKDUCKS"
"19","Remove bandaging from ","UNTAPE"
"20","___ stick ","POGO"
"21","Hurry ","HIE"
"22","Noodles ","PASTA"
"23","Candy in a dispenser ","PEZ"
"24","Moistens ","WETS"
"25","Vicinity ","AREA"
"26","Fictional Scarlett ","OHARA"
"27","Author Jonathan shows his unhappiness ","SWIFTGROUSES"
"28","New Zealander ","KIWI"
"29","Pitcher Gossage celebrates a victory ","GOOSECROWS"
"30","Object of worship ","IDOL"
"31","Axlike tool with a curved blade ","ADZE"
"32","When repeated, an ogler's cry ","HUBBA"
"33","Spanish child ","NENE"
"34","Bar bottles ","RYES"
"35","Early computer ","ENIAC"
"36","Municipal bldg. ","CTR"
"37","Early auto inits. ","REO"
"38","Govt. fiscal grp. ","OMB"
"39","Like a punk rocker's hair, maybe ","SPIKED"
"40","Seattle cager, for short ","SONIC"
"41","Scottish hillside ","BRAE"
"42","Hedgerow trees ","YEWS"
"43","William Shatner sci-fi novel ","TEKWAR"
"44","""___ Dream"" (""Lohengrin"" aria) ","ELSAS"
"45","Favor-asker's query ","COULDYOU"
"46","Bowlful for Spot ","ALPO"
"47","Plaint near a bowl of milk ","MEOW"
"48","Nine-digit ID's ","SSNS"
"49","Alts. ","HTS"
"50","Major U.S./Mexico border crossing ","LAREDO"
"51","One of the Williams sisters ","SERENA"
"52","Pants folds ","PLEATS"
"53","Make corny, as a skit ","HAMUP"
"54","Bag thickness ","MIL"
"55","Red or green fruit ","GRAPE"
"56","Sagittarius, with ""the"" ","ARCHER"
"57","Soviet leader Khrushchev ","NIKITA"
"58","Encls. to editors ","SASES"
"59","Warhol genre ","POPART"
"60","Amaze ","AWE"
"61","U.P.S. delivery: Abbr. ","PKG"
"62","Information collection on a computer ","DATAFILE"
"63","""Frasier"" woman ","ROZ"
"64","Mad magazine content ","PARODY"
"65","Appeared in a publication ","WASRUN"
"66","Actress Samantha ","EGGAR"
"67","Sweet suffix ","OSE"
"68","Ford's ""Six Days Seven Nights"" co-star ","HECHE"
"69","Partner of bones ","SKIN"
"70","Broad ","WIDE"
"71","Victor's cry ","IWON"
"72","Seep ","OOZE"
"73","Applications ","USES"
"74","Japanese sash ","OBI"
"75","Org. that awards belts ","WBA"
"76","Baglike structure ","SAC"
