"","clues","answers"
"1","W.'s political affiliation ","GOP"
"2","Take a paddle to ","WHACK"
"3","Barely beats ","EDGES"
"4","""Gotcha!"" ","AHA"
"5","Wore ","HADON"
"6","Dickens's ___ Heep ","URIAH"
"7","Nothing at all ","NIL"
"8","Eyes ","OCULI"
"9","Elephant gone amok ","ROGUE"
"10","Mimic ","DOATAKEOFFON"
"11","Can't stomach ","HATE"
"12","Got back into business ","REOPENED"
"13","Resistance to change ","INERTIA"
"14","Many a home purchase ","RESALE"
"15","Putin's land ","RUSSIA"
"16","""Treasure Island"" inits. ","RLS"
"17","Departure from reality ","FLIGHTOFFANCY"
"18","Designation for a sequel to a sequel ","III"
"19","Lock, stock and barrel ","INTOTO"
"20","Begs ","PLEADS"
"21","Puget Sound city ","SEATTLE"
"22","Language of the Eddas ","OLDNORSE"
"23","___ Brockovich, Oscar role for Julia Roberts ","ERIN"
"24","""Dallas"" spinoff ","KNOTSLANDING"
"25","Aussie ""bear"" ","KOALA"
"26","Do penance ","ATONE"
"27","Wolfed down ","ATE"
"28","Place to moor ","INLET"
"29","Arrive at ","GETTO"
"30","Salon goop ","GEL"
"31","Nick of ""Cape Fear"" ","NOLTE"
"32","Krupp Works city ","ESSEN"
"33","Windy City trains ","ELS"
"34","India's Mohandas ","GANDHI"
"35","Buckeye Stater ","OHIOAN"
"36","Gourmet's sense ","PALATE"
"37","""Hold it, horse!"" ","WHOA"
"38","Take an ax to ","HACK"
"39","Together, on a score ","ADUE"
"40","Like practically all TV's, now ","COLOR"
"41","Bowie's weapon ","KNIFE"
"42","Part of the Old World ","EUROPE"
"43","Pilotless planes ","DRONES"
"44","Jazz job ","GIG"
"45","___ Claire, Wis. ","EAU"
"46","Sow, ewe or mare ","SHE"
"47","Gibbs of country music ","TERRI"
"48","Part of F.Y.I. ","FOR"
"49","Bust maker ","NARC"
"50","___ Plaines, Ill. ","DES"
"51","Harbor workhorse ","TUG"
"52","Relative of -esque ","ISH"
"53","Italian wine center ","ASTI"
"54","Cyclotron bit ","ION"
"55","Siesta times: Abbr. ","AFTS"
"56","""___ 'er up!"" ","FILL"
"57","Told a whopper ","LIED"
"58","Friend's opposite ","FOE"
"59","___ snail's pace ","ATA"
"60","Jotted down ","NOTED"
"61","Nasdaq debut: Abbr. ","IPO"
"62","Short sock ","ANKLET"
"63","Visit a bloodmobile, e.g. ","DONATE"
"64","B'way hit sign ","SRO"
"65","""M*A*S*H"" procedure ","TRIAGE"
"66","Door frame part ","LINTEL"
"67","Marx collaborator ","ENGELS"
"68","Wild West vehicle ","STAGE"
"69","Kefauver who won fame investigating organized crime ","ESTES"
"70","Builders' sites ","LOTS"
"71","Stud fee? ","ANTE"
"72","Gas in signs ","NEON"
"73","Family ","KIN"
"74","Musical Yoko ","ONO"
"75","The whole shebang ","ALL"
