"","clues","answers"
"1","Go to sea ","SAIL"
"2","Feet above sea level: Abbr. ","ELEV"
"3","Boston's airport ","LOGAN"
"4","Stubborn animal ","MULE"
"5","Ear part ","LOBE"
"6","Ex-Mrs. Trump ","IVANA"
"7","Fitzgerald who sang ""I'm Making Believe"" ","ELLA"
"8","University V.I.P. ","DEAN"
"9","Car parker ","VALET"
"10","Decreed ","LAIDDOWNTHELAW"
"11","___ foil ","TIN"
"12","Before, in verse ","ERE"
"13","Bad mark ","STIGMA"
"14","Discontinued ","OLD"
"15","Lacking muscle ","WEAK"
"16","Writer Welty ","EUDORA"
"17","Throng ","HORDE"
"18","Document of legal representation ","POWEROFATTORNEY"
"19","Liqueur flavoring ","ANISE"
"20","Armadas ","FLEETS"
"21","Nary a soul ","NONE"
"22","Injection units, for short ","CCS"
"23","Relaxed ","ATEASE"
"24","Tree swinger ","APE"
"25","Children's game ","COPSANDROBBERS"
"26","Easy gallops ","LOPES"
"27","Bad place to drop a heavy box ","TOES"
"28","Landed (on) ","ALIT"
"29","Florida city ","OCALA"
"30","Advantage ","EDGE"
"31","Ready for picking ","RIPE"
"32","Like sea air ","SALTY"
"33","Flagmaker Betsy ","ROSS"
"34","Refines, as metal ","SMELTS"
"35","How some café is served ","AULAIT"
"36","""Fighting"" Big Ten team ","ILLINI"
"37","Starring role ","LEAD"
"38","Fabled New World city ","ELDORADO"
"39","""Camelot"" composer ","LOEWE"
"40","Israel's Abba ","EBAN"
"41","Open the windows in ","VENTILATE"
"42","Jazz up ","LIVEN"
"43","Running track ","OVAL"
"44","Festive party ","GALA"
"45","Again ","ANEW"
"46","___ King Cole ","NAT"
"47","Shy ","DEMURE"
"48","""This ___ better be good!"" ","HAD"
"49","Honkers ","GEESE"
"50","Rigorous exams ","ORALS"
"51","On the downslide ","WORSE"
"52","Sea eagle ","ERN"
"53","Lemon or lime drink ","ADE"
"54","C minor, for one ","KEY"
"55","Unbalanced ","OFFCENTER"
"56","Spa feature ","HOTTUB"
"57","Criticize, as a movie ","PAN"
"58","Plastic ___ Band ","ONO"
"59","Victory ","WIN"
"60","Fragrant flowers ","TEAROSES"
"61","Overseer of co. books ","CPA"
"62","Earhart who disappeared over the Pacific ","AMELIA"
"63","Skunk feature ","STRIPE"
"64","It immediately follows Passiontide ","EASTER"
"65","Examine, as ore ","ASSAY"
"66","Bottom of the barrel ","DREGS"
"67","___-Cola ","COCA"
"68","Iridescent stone ","OPAL"
"69","Skin ","PELT"
"70","One slow on the uptake ","DODO"
"71","Cutting remark ","BARB"
"72","The ""L"" of L.A. ","LOS"
