"","clues","answers"
"1","Choreographer Ailey ","ALVIN"
"2","Highchair feature ","TRAY"
"3","Love handles, essentially ","FLAB"
"4","All-knowing ","WISE"
"5","See red ","RAGE"
"6","Kind of renewal ","URBAN"
"7","Letters from Athens ","ETAS"
"8","Halo, e.g. ","AURA"
"9","White House nickname ","IKE"
"10","Underground commuter ","STRAPHANGER"
"11","Resting on ","ATOP"
"12","Was restless ","ITCHED"
"13","One who'll give you fits ","TAILOR"
"14","Oft-impersonated one ","ELVIS"
"15","Speaker's woe ","STREPTHROAT"
"16","Pal for Pierre ","AMI"
"17","""Rag Mop"" singers the ___ Brothers ","AMES"
"18","Popular card game ","UNO"
"19","It can be cast ","IRON"
"20","Curtain holder ","ROD"
"21","Cause of erosion, maybe ","STRIPMINING"
"22","Upholstery fabric ","TOILE"
"23","Outflow's opposite ","INTAKE"
"24","Stuff one's face ","PIGOUT"
"25","Snack in a stack ","OREO"
"26","Prepare to do some barbering ","STROPARAZOR"
"27","Write quickly ","JOT"
"28","It falls hard ","HAIL"
"29","Verne hero ","NEMO"
"30","Hose shade ","TAUPE"
"31","Downwind, nautically ","ALEE"
"32","Privy to ","INON"
"33","Book end? ","INDEX"
"34","Popular Microsoft software ","WORD"
"35","Bond, for one ","AGENT"
"36","Here, in Seville ","AQUI"
"37","Hang around unobserved ","LURK"
"38","Sensation, slangily ","VIBE"
"39","Call ___ day ","ITA"
"40","Pipsqueak ","TWERP"
"41","Singer Coolidge ","RITA"
"42","Pronto ","ASAP"
"43","Where the Talmud is studied ","YESHIVA"
"44","They're circulated in Paris ","FRANCS"
"45","Roll in the aisles ","LAUGH"
"46","Go along (with) ","AGREE"
"47","Santa Claus feature ","BEARD"
"48","Lawsuit basis ","TORT"
"49","Arguing ","ATIT"
"50","Pub pints ","ALES"
"51","Spheric opening? ","ATMO"
"52","Really steamed ","IRED"
"53","""Sesame Street"" regular ","ERNIE"
"54","Aerial maneuver ","LOOP"
"55","Be a pitcher ","HURL"
"56","Diva's delivery ","ARIA"
"57","Lama, e.g. ","MONK"
"58","""Bus Stop"" playwright ","INGE"
"59","Enthusiastic about ","INTO"
"60","Progresso product ","SOUP"
"61","Dali contemporary ","MIRO"
"62","Sluggishness ","INERTIA"
"63","Drove, slangily ","TOOLED"
"64","""Oh, come on!"" ","PSHAW"
"65","Author Calvino ","ITALO"
"66","""Jackie Brown"" actress Pam ","GRIER"
"67","Layer with a hole in it ","OZONE"
"68","Where people split ","RENO"
"69","In a frenzy ","AMOK"
"70","Penultimate book of the Bible ","JUDE"
"71","Big tournament ","OPEN"
"72","Teleprompter filler ","TEXT"
"73","Director Lee ","ANG"
