"","clues","answers"
"1","In debt ","OWING"
"2","Post-op locale ","ICU"
"3","Bets build them ","POTS"
"4","Workplace for some clowns ","RODEO"
"5","Melon exterior ","RIND"
"6","Sign to heed ","OMEN"
"7","States confidently ","AVERS"
"8","Rice-shaped pasta ","ORZO"
"9","Late-night name ","LENO"
"10","Hunchbacked assistant ","IGOR"
"11","Manorial worker ","PEASANT"
"12","""I am such a dope!"" ","DUH"
"13","Bart's teacher, ___ Krabappel ","EDNA"
"14","Hen's home ","COOP"
"15","Oslo is on one ","FJORD"
"16","Have-___ (poor people) ","NOTS"
"17","Traffic problem ","SNARL"
"18","Northamptonshire river ","OUSE"
"19","Yucky ","GROSS"
"20","Olympics blade ","EPEE"
"21","Toy with a cross frame ","KITE"
"22","Dental problem calling for braces ","GAP"
"23","Puts together hastily ","SCARESUP"
"24","Empty, as a stare ","VACUOUS"
"25","Baton Rouge sch. ","LSU"
"26","Prefix with culture ","AGRI"
"27","Little woman? ","MINUTEMAID"
"28","Heist haul ","LOOT"
"29","Proceed slowly ","PLOD"
"30","Persian tongue ","FARSI"
"31","Cuzco native ","INCA"
"32","Holding a grudge ","SORE"
"33","""I surrender!"" ","UNCLE"
"34","Batik artist ","DYER"
"35","In a funk ","SAD"
"36","Manages to elude ","LOSES"
"37","Like most folklore ","ORAL"
"38","Used a loom ","WOVE"
"39","Brainchild ","IDEA"
"40","Social misfit ","NERD"
"41","Matthew or Mark ","GOSPEL"
"42","Hard porcelain ","IRONSTONE"
"43","Magazine fig. ","CIRC"
"44","Loosen, as a parka ","UNZIP"
"45","What a comedian might do before going onstage? ","POLISHJOKE"
"46","Alphabet ender ","OMEGA"
"47","Carpentry joint part ","TENON"
"48","Angry bull's sound ","SNORT"
"49","Apportioned, with ""out"" ","DOLED"
"50","Members of management ","EXECS"
"51","""___ Wiedersehen"" ","AUF"
"52","China's ___ Xiaoping ","DENG"
"53","Dumpster emanation ","ODOR"
"54","Sermon preposition ","UNTO"
"55","Fish-shaped musical instrument? ","BASSGUITAR"
"56","Ivory, Coast and others ","SOAPS"
"57","Made impossible ","PRECLUDED"
"58","Alsace assents ","OUIS"
"59","Queue after Q ","RSTU"
"60","Tough to fathom ","DEEP"
"61","Most trivial ","LEAST"
"62","___ Tomé ","SAO"
"63","High-heel shoes ","PUMPS"
"64","Really sorry ","RUEFUL"
"65","Not yet expired ","VALID"
"66","Intense pain ","AGONY"
"67","Jim who sang ""Time in a Bottle"" ","CROCE"
"68","Missile sites ","SILOS"
"69","Ibsen's ___ Helmer ","NORA"
"70","Hand, to Hernando ","MANO"
"71","Rainbow shapes ","ARCS"
"72","Cruise stopover ","ISLE"
"73","Stamping tools ","DIES"
