"","clues","answers"
"1","Destination for many a quilter ","CRAFTFAIR"
"2","One with a supporting role? ","BRACE"
"3","Forty-niners' song ","OHSUSANNA"
"4","Fresh ","LIPPY"
"5","War with little or no active warfare ","SITZKRIEG"
"6","River from the Graian Alps ","ISERE"
"7","""Little"" sister in ""Hairspray"" ","INEZ"
"8","Backpacker's bagful ","GORP"
"9","Pirate's shoulder, stereotypically ","PERCH"
"10","Land on the Arctic Circle: Abbr. ","NOR"
"11","Nobelist Bloch or Lorenz ","KONRAD"
"12","French town fortified by Charlemagne ","STLO"
"13","City whose name means ""eat"" ","ESSEN"
"14","Absorb ","SOPUP"
"15","Carrier whose theme is ""Rhapsody in Blue"": Abbr. ","UAL"
"16","Head, or heading: Abbr. ","DIR"
"17","Way out ","RECOURSE"
"18","Went ballistic ","HADAFIT"
"19","Inexperience ","RAWNESS"
"20","Honor for an ace ","AIRMEDAL"
"21","""How I Met Your Mother"" guy ","TED"
"22","Skipper's syllable ","TRA"
"23","Add some stuffing to ","REPAD"
"24","Is imminent ","LOOMS"
"25","Persian language? ","MEWS"
"26","Keep spinning, as yarns ","RETELL"
"27","Stack of chips, sometimes ","BET"
"28","Ticket specification ","ADULT"
"29","Band parodied by Weird Al Yankovic's ""Dare to Be Stupid"" ","DEVO"
"30","Homeroom response ","HERE"
"31","Report in the funny papers? ","KAPOW"
"32","""The Very Hungry Caterpillar"" author ","ERICCARLE"
"33","Expedite some union business? ","ELOPE"
"34","Triumphantly boastful ","COCKAHOOP"
"35","Racket-raising Richards ","RENEE"
"36","Attire for Little Lord Fauntleroy ","KNEEPANTS"
"37","Massive chargers ","RHINOS"
"38","Goldilocks and others ","ASTERS"
"39","Nap kin ","FUZZ"
"40","""How could you?!"" ","TSK"
"41","Red River city ","FARGO"
"42","Parts of galvanic cells ","ANIONS"
"43","Off ","INERROR"
"44","Option for printing archival copies ","RAGPAPER"
"45","It's hardly a trend ","BLIP"
"46","Stops lying ","RISES"
"47","Opening ","APERTURE"
"48","Revival meeting? ","CPRCLASS"
"49","Halloween costume parts ","EYEHOLES"
"50","Assailant without a gun ","KNIFER"
"51","Bit of old European money ","DUCAT"
"52","Edible red ball ","EDAM"
"53","Rice served after him ","POWELL"
"54","Line-item veto target, often ","RIDER"
"55","Command to return to a former state ","UNDO"
"56","One may supply boaters ","HATMAKER"
"57","Pet kept by Wilson, Harding and Coolidge ","AIREDALE"
"58","Tap ","DRAWUPON"
"59","Obsolescent music option ","TAPEDECK"
"60","In a bit ","LATERON"
"61","Fairy king ","OBERON"
"62","Red selection ","MERLOT"
"63","Gets in hot water? ","STEEPS"
"64","Geometry calculation ","SLOPE"
"65","""An Essay Concerning Human Understanding"" writer ","LOCKE"
"66","Too cute, in Cambridge ","TWEE"
"67","""Good one!"" ","HAHA"
"68","Restrict, in a way ","CAP"
