"","clues","answers"
"1","""Nice job, kid!"" ","ATTABOY"
"2","Subjects in an intro chemistry class ","ATOMS"
"3","___ cat ","SIAMESE"
"4","Side parts? ","CAMEOS"
"5","Dead Sea documents ","SCROLLS"
"6","Moved on all fours ","CRAWLED"
"7","Gradually increasing rage ","SLOWBURN"
"8","Leave amazed ","AWE"
"9","Largest U.S. lake by volume after the five Great Lakes ","TAHOE"
"10","""Piece of cake!"" ","EASY"
"11","Beat maker ","DRUM"
"12","Entirely ","ATOZ"
"13","Cause of date night stress ","ACNE"
"14","Zilch ","ZIPPO"
"15","Turkey hen's mate ","TOM"
"16","Writer Dinesen ","ISAK"
"17","Mineral in sheets ","MICA"
"18","What recently hired bosses are part of ","NEWMANAGEMENT"
"19","Andy of cartoons ","CAPP"
"20","Tibetan spiritual guru ","LAMA"
"21","Tiny energy unit ","ERG"
"22","Black hues, in Shakespeare ","EBONS"
"23","""Ditto"" ","SAME"
"24","Cop a ___ ","PLEA"
"25","Subdue ","TAME"
"26","Mislays ","LOSES"
"27","X ","CHI"
"28","Planter's bagful ","LOAMSOIL"
"29","Sculptor who pioneered Dadaism ","HANSARP"
"30","Middle of the week ... or an appropriate title for this puzzle ","HUMPDAY"
"31","Light ","IGNITE"
"32","Playwright John who wrote ""Look Back in Anger"" ","OSBORNE"
"33","Pops ","SODAS"
"34","Canadian airline with a directional name ","WESTJET"
"35","Big jerk ","ASS"
"36","Part of X-X-X ","TIC"
"37","Roof coating ","TAR"
"38","Israeli novelist of ""A Perfect Peace"" ","AMOSOZ"
"39","Ball V.I.P. ","BELLE"
"40","World capital half of which consists of forest ","OSLO"
"41","Charge ","ACCUSE"
"42","Dilly-dally ","TARRY"
"43","U.N. member between Norway and Pakistan alphabetically ","OMAN"
"44","Modern energy sources ","SOLARPANELS"
"45","Finalize ","SEWUP"
"46","Software giveaway ","DEMO"
"47","Sound during a heist ","BANKALARM"
"48","Bicep image, briefly ","TAT"
"49","Lots ","ATON"
"50","When some kings and queens are crowned ","HOMECOMINGS"
"51","They're blown on for good luck ","DICE"
"52","Pronto ","ASAP"
"53","Onetime Coors alcopop ","ZIMA"
"54","Chronic pains? ","IMPS"
"55","Passing web fancy ","MEME"
"56","Die down ","WANE"
"57","""Password"" or ""Pyramid"" ","GAMESHOW"
"58","Image in the Timberland logo ","TREE"
"59","___ pedal ","GAS"
"60","Set in stone, say ","ETCH"
"61","Outdoor painting scenes ","SCAPES"
"62","Khmer Rouge leader ","POLPOT"
"63","Line connected to a pump? ","AORTA"
"64","Post-storm detritus ","LIMBS"
"65","Placed ","LAID"
"66","River through York ","OUSE"
"67","___-Cat ","SNO"
"68","Hoops legend with a statue in Philadelphia ","DRJ"
"69","Hydrocarbon suffix ","ANE"
"70","""And still ..."" ","YET"
