"","clues","answers"
"1","The ""A"" of U.A.E. ","ARAB"
"2","West Coast N.F.L. player, informally ","LARAM"
"3","Hearty one-pot meal ","STEW"
"4","""Watch your ___!"" (""Attitude check!"") ","TONE"
"5","Playback option, in brief ","SLOMO"
"6","Cuisine with tom yum gai ","THAI"
"7","""At Last"" singer ___ James ","ETTA"
"8","High-society, metaphorically ","UPPERCRUST"
"9","Like a bad day for a picnic, say ","RAINY"
"10","Blows up ","EXPLODES"
"11","After-hours bank convenience ","ATM"
"12","List-ending abbreviation ","ETC"
"13","Center of activity ","HUB"
"14","Something unimpressive, slangily ","WEAKSAUCE"
"15","Finest efforts ","BESTS"
"16","They get defused in some action films (one hopes!) ","TIMEBOMBS"
"17","Pigeon sound ","COO"
"18","Rock's Joan ___ & the Blackhearts ","JETT"
"19","Italian mojito garnish ","BASIL"
"20","The ""A"" of B.A. ","ARTS"
"21","Wrath ","IRE"
"22","""Stay, please!"" ","DONTLEAVE"
"23","North Dakota city that's the title of a Coen brothers film ","FARGO"
"24","""Smi-i-i-i-le!"" ","SAYCHEESE"
"25","Frittata ingredient ","EGG"
"26","""Dexter"" airer, for short ","SHO"
"27","Take a midday snooze ","NAP"
"28","Revolutionary maneuver in sports or break dancing? ","SPINMOVE"
"29","Sidekick of Mario and Luigi ","YOSHI"
"30","Sound of a flyswatter ","WHAP"
"31","Ingredient in some skin-care products ","ALOE"
"32","Hemingway's ""The Sun Also ___"" ","RISES"
"33","Tales passed down through generations ","LORE"
"34","""Here's a brief summary,"" in internet-speak ","TLDR"
"35","""The Big Podcast With Shaq"" host ","ONEAL"
"36","Big fan, in modern lingo ","STAN"
"37","Consumed no cooked food ","ATERAW"
"38","Turn clockwise or counterclockwise ","ROTATE"
"39","Warp drive power source on ""Star Trek"" ","ANTIMATTER"
"40","Coffee tidbit ","BEAN"
"41","Baton Rouge sch. ","LSU"
"42","Swiss peak ","ALP"
"43","Jump ___ (double Dutch equipment) ","ROPE"
"44","Alternative to Visa or Mastercard, informally ","AMEX"
"45","Change from Jason into a Power Ranger, say ","MORPH"
"46","Flashing light at a concert ","STROBE"
"47","Dull sound of impact ","THUD"
"48","Slide (into) ","EASE"
"49","Mental resourcefulness ","WITS"
"50","Black card suit ","CLUBS"
"51","Polite affirmative, in the South ","YESM"
"52","Some quality cigars ","CUBANS"
"53","Word with shaving or sewing ","KIT"
"54","___ Rica ","COSTA"
"55","Brontë and Dickinson, for two ","EMILYS"
"56","One in nursery school ","TOT"
"57","Letters spelled out with rocks on a desert island, in cartoons ","SOS"
"58","""Disgusting!"" ","BLECH"
"59","What ""choosy moms"" choose, according to ads ","JIF"
"60","Pennsylvania, in D.C.: Abbr. ","AVE"
"61","You'd better believe it! ","DOGMA"
"62","Sailor's ""Hello!"" ","AHOY"
"63","Many a TikTok user, informally ","GENZER"
"64","Largest hot desert in the world ","SAHARA"
"65","Lifesaving device for one with severe allergies ","EPIPEN"
"66","Start getting paid, as an athlete ","GOPRO"
"67","Petty fight ","SPAT"
"68","Little clump on a sweater ","PILL"
"69","Preppy clothing brand ","IZOD"
"70","Self-absorbed ","VAIN"
"71","Gaelic language ","ERSE"
"72","Brewed beverage ","TEA"
"73","Fashion monogram ","YSL"
