"","clues","answers"
"1","Something running on a cell ","MOBILEAPP"
"2","""The Waltons"" co-star Ralph ","WAITE"
"3","Starting to succeed ","ONONESWAY"
"4","Opera title boy ","AMAHL"
"5","Been exposed to an awful lot ","SEENITALL"
"6","Like Royal Albert Hall ","DOMED"
"7","Roofing option ","TAR"
"8","""Palindromania!"" writer Jon ","AGEE"
"9","Male duck ","DRAKE"
"10","Be up ","BAT"
"11","Ones hanging around delis? ","SALAMIS"
"12","Flashers at a rock concert ","STROBES"
"13","Let up ","RELENT"
"14","Superslim ","THINASAREED"
"15","Some QB protectors ","RGS"
"16","Out of service?: Abbr. ","RETD"
"17","Gouge, e.g. ","MAR"
"18","Dog tag? ","FIDO"
"19","Thespian Thurman ","UMA"
"20","Orbiting Galaxy, e.g. ","COMSAT"
"21","Hulu offerings ","STREAMS"
"22","Like a cat-o'-nine-tails' nine tails ","KNOTTED"
"23","Spitfire org. ","RAF"
"24","Paul who pioneered in quantum mechanics ","DIRAC"
"25","Means to deep spiritual insight ","YOGA"
"26","Malaria-fighting compound during W.W. II ","DDT"
"27","Development sites? ","UTERI"
"28","""V for Vendetta"" writer ","ALANMOORE"
"29","""Le Bassin aux Nymphéas"" painter ","MONET"
"30","Tabs, e.g. ","DIETSODAS"
"31","One-run homers ","SOLOSHOTS"
"32","Start of many records ","MOST"
"33","Prime draft pick ","ONEA"
"34","Two-time belligerent against the British Empire ","BOER"
"35","Country ___ ","INN"
"36","""Magnum, P.I."" wear ","LEI"
"37","Things dealt with in passing? ","ESTATES"
"38","Like many dogs' tails ","AWAG"
"39","Faint ","PALE"
"40","TV's Goober and others ","PYLES"
"41","Was ducky? ","WADDLED"
"42","Lacking scruples ","AMORAL"
"43","Many future monarchs ","ELDESTSONS"
"44","What atoms may have ","BOND"
"45","Oakland Oaks' org. ","ABA"
"46","Consist of ","ARE"
"47","Overawed ","STRUCKDUMB"
"48","Church-owned newsweekly, for short ","THEMONITOR"
"49","Only Hispanic performer with an Emmy, Grammy, Oscar and Tony ","RITAMORENO"
"50","___ Club ","SAMS"
"51","Player motivator ","RAH"
"52","Olympian troublemaker ","ERIS"
"53","Person's sphere of operation ","FIEF"
"54","Easy street's location? ","FATCITY"
"55","Had ","ATE"
"56","Town at the tip of Italy's ""heel"" ","OTRANTO"
"57","Carrying people, for short? ","NRA"
"58","Didn't just peek ","STARED"
"59","Couples ","DYADS"
"60","Potpourri ","OLIO"
"61","Fine ___ (Irish political party) ","GAEL"
"62","Dummy ","DODO"
"63","""Consarn it all!"" ","DRAT"
"64","Danny Ocean's ex-wife in ""Ocean's Eleven"" ","TESS"
"65","Some mail for a mag ","MSS"
"66","""Will ya look at that!"" ","OOH"
