"","clues","answers"
"1","Order after ""Ready ... aim ..."" ","FIRE"
"2","Not cramped at all ","ROOMY"
"3","Urban pollution ","SMOG"
"4","Russia's ___ Mountains ","URAL"
"5","Protruding navel ","OUTIE"
"6","Informal gathering of musicians ","JAMSESSION"
"7","Stuck in the freezer ","ICED"
"8","Mensa members' stats ","IQS"
"9","One of the W's in W.W. I ","WAR"
"10","Expressed wonder ","OOHED"
"11","""On the Beach"" author Nevil ","SHUTE"
"12","""Looks ___ everything"" ","ARENT"
"13","Floor cleaner ","MOP"
"14","Send a message via cell phone ","TEXT"
"15","Dish rated in alarms ","CHILI"
"16","Cabernet or merlot ","WINE"
"17","Lumberjack's tool ","AXE"
"18","Red tag events ","SALES"
"19","Clear from memory ","ERASE"
"20","Outdoor homes for endangered species, perhaps ","GAMEPRESERVES"
"21","More sad ","BLUER"
"22","""Ich bin ___ Berliner"" ","EIN"
"23","""Pretty Boy"" of crime ","FLOYD"
"24","Match a bet, in poker ","CALL"
"25","Hit with a stun gun ","ZAP"
"26","Papers in poker pots ","IOUS"
"27","Park that's home to Yogi Bear ","JELLYSTONE"
"28","Entice ","LURE"
"29","Samuel of the Supreme Court ","ALITO"
"30","Initial poker stake ","ANTE"
"31","Beat, barely ","EDGE"
"32","Wisconsin college or its city ","RIPON"
"33","Cubicle fixture ","DESK"
"34","Volcano viewable from Tokyo ","FUJI"
"35","Operation Desert Storm setting ","IRAQ"
"36","Ewes' mates ","RAMS"
"37","Chicago trains ","ELS"
"38","Nun's beads ","ROSARY"
"39","Remove from power ","OUST"
"40","Elevator pioneer Elisha ","OTIS"
"41","""O Sole ___"" ","MIO"
"42","Money in Tokyo ","YEN"
"43","Whine tearfully ","SNIVEL"
"44","Nuts grown in Hawaii ","MACADAMIAS"
"45","Newspaper opinion piece ","OPED"
"46","Gallivants, with ""about"" ","GADS"
"47","Give the slip to ","EVADE"
"48","""___ reminds me ..."" ","THAT"
"49","Light bulb unit ","WATT"
"50","Ultimatum words ","ORELSE"
"51","All: Prefix ","OMNI"
"52","Country wedged between France, Belgium and Germany ","LUXEMBOURG"
"53","Gustav who composed ""The Song of the Earth"" ","MAHLER"
"54","Astrological sign of spring ","ARIES"
"55","Mafia bigwigs ","DONS"
"56","Olympian's blade ","EPEE"
"57","For men only ","STAG"
"58","One more than penta- ","HEXA"
"59","Give a darn ","CARE"
"60","Small songbird ","WREN"
"61","Potato, informally ","SPUD"
"62","Things released from Pandora's box ","EVILS"
"63","French president's palace ","ELYSEE"
"64","Have confidence in ","RELYON"
"65","Blacksmith's tool ","FILE"
"66","Deafening ","LOUD"
"67","Tie fastener ","CLIP"
"68","Kind of sax ","ALTO"
"69","The ""Z"" in DMZ ","ZONE"
"70","Aardvark's diet ","ANTS"
"71","___ Lilly and Company ","ELI"
"72","Tiny bit ","TAD"
