"","clues","answers"
"1","Jab with a knife ","STAB"
"2","One of the a's in Nascar: Abbr. ","ASSN"
"3","""Well, golly!"" ","OHGEE"
"4","What Jack and Jill went up ","HILL"
"5","Bygone dagger ","SNEE"
"6","Middays ","NOONS"
"7","Sitar piece ","RAGA"
"8","Heated argument ","WAROFWORDS"
"9","Stretches in history ","ERAS"
"10","""Either you do it ___ will!"" ","ORI"
"11","Shoe ties ","LACES"
"12","Take while no one's looking, say ","WALTZOFFWITH"
"13","___ Buddhist ","ZEN"
"14","Relative of ltd. ","INC"
"15","Some special f/x ","CGI"
"16","Iconic action figure ","GIJOE"
"17","Material in a fire starter set ","MATCHWOOD"
"18","""Unto us ___ is given"": Isaiah ","ASON"
"19","Tree with papery bark ","BIRCH"
"20","Not quite circular ","OVAL"
"21","Have a midday meal ","TAKELUNCH"
"22","Stockholm native ","SWEDE"
"23","CBS symbol ","EYE"
"24","Response to a punch in the gut ","OOF"
"25","Exhibits a superhuman ability ","WALKSONWATER"
"26","Beetle Bailey's superior ","SARGE"
"27","Arrived ","CAME"
"28","London subway, with ""the"" ","TUBE"
"29","Mountain ridge ","ARETE"
"30","Swear ","AVOW"
"31","Newspaper piece with a viewpoint ","OPED"
"32","Argon and xenon ","GASES"
"33","Alien: Prefix ","XENO"
"34","""Stop"" lights ","REDS"
"35","Shakespeare's ""The Taming of the ___"" ","SHREW"
"36","Pageant sparkler ","TIARA"
"37","Like some pond growths ","ALGAL"
"38","Detonation area ","BLASTZONE"
"39","In a faint ","ASWOON"
"40","Wolf (down) ","SNARF"
"41","Feature of a font ","SERIF"
"42","Opposite of paleo- ","NEO"
"43","Doing sentry duty ","ONWATCH"
"44","Illegal liquor, informally ","HOOCH"
"45","What's seen in ""Saw"" ","GORE"
"46","Termini ","ENDS"
"47","Twisty road curve ","ESS"
"48","Recoil slightly, as from an oncoming punch ","FLINCH"
"49","Halloween costume with a pointy black hat ","WITCH"
"50","Shore recess ","COVE"
"51","Prod ","GOAD"
"52","Not working ","IDLE"
"53","Entrance to a field ","GATE"
"54","""By Jove!"" ","ISAY"
"55","Ha-ha elicitor ","JOKE"
"56","Capital of Belarus ","MINSK"
"57","Rainbow's shape ","ARC"
"58","Bit of ammo ","BULLET"
"59","""Twenty Thousand ___ Under the Sea"" ","LEAGUES"
"60","Boar's mate ","SOW"
"61","Boxing combo ","ONETWO"
"62","Corresponded with ","WROTE"
"63","Rock's Perry or Tyler ","STEVE"
"64","""Ender's Game"" author ___ Scott Card ","ORSON"
"65","Stocking shade ","TAUPE"
"66","Implant ","EMBED"
"67","Clarinets and such ","REEDS"
"68","Fleetwood Mac hit ","SARA"
"69","Assents to the captain ","AYES"
"70","What dogs' tails do ","WAG"
"71","Sealing ___ ","WAX"
