"","clues","answers"
"1","Colorful Pillsbury cake with a portmanteau name ","FUNFETTI"
"2","Designs ","CRAFTS"
"3","The Wright stuff? ","AVIATION"
"4","Grading aid ","RUBRIC"
"5","Dave of rock ","MATTHEWS"
"6","If the shoe doesn't fit ... wear it? ","INSOLE"
"7","Some Renaissance-era scientists ","HERETICS"
"8","Kind of garden ","ZEN"
"9","Input ","ENTER"
"10","Where things might be left hanging ","RACK"
"11","Male hedgehog ","BOAR"
"12","___ Star ","LONE"
"13","Something opened with a click ","PEN"
"14","___ bike ","BMX"
"15","Brie, e.g. ","SOFTCHEESE"
"16","Rest stop? ","SABBATH"
"17","Personification of limpness ","RAGDOLL"
"18","Zoom participants? ","DRAGRACERS"
"19","Head across the pond ","LOO"
"20","Crackerjack ","ACE"
"21","Linguist Chomsky ","NOAM"
"22","Copies, as from a CD ","RIPS"
"23","Risky thing to do close to flight time ","PACK"
"24","___ blue ","CADET"
"25","Bother ","IRK"
"26","Some nervous responses ","FLINCHES"
"27","Latitude ","LEEWAY"
"28","Thanksgiving aftermath, maybe ","FOODCOMA"
"29","Prompt ","ONTIME"
"30","Aspire ","ENDEAVOR"
"31","Small sample, to Brits ","TASTER"
"32","Like this clue among the Acrosses ","DEADLAST"
"33","Ones closest to you, informally ","FAM"
"34","Sch. whose athletes are nicknamed the Hoos ","UVA"
"35","Annual coll. basketball event ","NIT"
"36","Pop ","FATHER"
"37","Clear sky ","ETHER"
"38","Ranking component ","TIER"
"39","Mathematical puzzle with movable disks ","TOWEROFHANOI"
"40","Snap ","INSTANT"
"41","Neck problem ","CRICK"
"42","Homecomings? ","RUNS"
"43","Targets of leg raises, informally ","ABS"
"44","Safe to skate on, say ","FROZENSOLID"
"45","Decorative features throughout Spain's Alhambra palace ","TILES"
"46","On the ___ ","SCENT"
"47","One getting a big scoop? ","ICECREAMCONE"
"48","Weakens ","EBBS"
"49","They vary according to income ","TAXBRACKETS"
"50","Do some yardwork ","WEED"
"51","Series set in Middle-earth, for short ","LOTR"
"52","Categorizes ","PEGS"
"53","Common additive to melted butter in Italian cuisine ","SAGE"
"54","Wrongdoing ","HARM"
"55","Emulate Desdemona and Othello, in a way ","ELOPE"
"56","Browser command ","BACK"
"57","Befuddled ","LOST"
"58","Like some chickens on farms ","CORNFED"
"59","Miscreant ","RASCAL"
"60","Start of a series ","PILOT"
"61","Impressive spot to sell out ","ARENA"
"62","Circular ","FLYER"
"63","Yielded ","CEDED"
"64","""The perfume of heroic deeds,"" to Socrates ","FAME"
"65","TV host Kotb ","HODA"
"66","""___ has truth in it; wisecracking is simply calisthenics with words"": Dorothy Parker ","WIT"
"67","Beginnings of life ","OVA"
"68","Several of them are named for gods: Abbr. ","MOS"
"69","A word with thou ","ART"
