"","clues","answers"
"1","Words of encouragement ","YOUGOGIRL"
"2","When it's dark, in Darmstadt ","NACHT"
"3","Daytime TV staple ","OPRAH"
"4","Church properties ","RECTORIES"
"5","Wheel and deal ","TRADE"
"6","Vincent Lopez's theme song ","NOLA"
"7","Loose-lipped ","BLABBY"
"8","It comes straight from the horse's mouth ","BIT"
"9","Anthony who sang ""What Kind of Fool Am I"" ","NEWLEY"
"10","""All the Things You ___"" ","ARE"
"11","Axis/Allies war zone: Abbr. ","ETO"
"12","It's inspired ","AIR"
"13","Interstate sight ","EXITRAMP"
"14","Flower part ","CALYX"
"15","An hors d'oeuvre ","PATE"
"16","Division politique ","ETAT"
"17","Fork's place, maybe ","RIVER"
"18","Sign away ","CEDE"
"19","N.Y.C. home of ""The Starry Night"" ","MOMA"
"20","Golden finish? ","AGER"
"21","Firehouse feature ","SIREN"
"22","Drydock supports ","SHORINGS"
"23","Stretch of turbulent water ","RIP"
"24","""Star Wars"" name ","HAN"
"25","Pen ","STY"
"26","Sniff out ","DETECT"
"27","Noted touring dance grp. ","ABT"
"28","Like many grenades ","LOBBED"
"29","Dart ","FLIT"
"30","Gift recipient's question ","FORME"
"31","Small blood vessel ","ARTERIOLE"
"32","Swift reply? ","TWEET"
"33","A lot ","SLEWS"
"34","They can be deep ","KNEEBENDS"
"35","Grandfather's relation? ","YARN"
"36","Result of walking the lead-off batter ","ONEON"
"37","Verbal white flag ","UNCLE"
"38","Robber's need, maybe ","GETAWAYCAR"
"39","""Well, lookee here!"" ","OHO"
"40","Giant in baby food ","GERBER"
"41","Without passion ","ICILY"
"42","Three-toed bird ","RHEA"
"43","""Hold yer horses!"" ","NOTYET"
"44","Loan abbreviation ","APR"
"45","Antarctic seal ","CRABEATER"
"46","Was on Easy Street ","HADITMADE"
"47","David Letterman shtick ","THETOPTEN"
"48","Thorny patch ","BRIER"
"49","Year Agrippina was murdered ","LIX"
"50","Downspout site ","EAVES"
"51","Cook's reference ","RECIPEFILE"
"52","Auto parts ","CAMSHAFTS"
"53","Part of a California grove ","LEMONTREE"
"54","Go along for the ride ","PIGGYBACK"
"55","Totaled ","RANTO"
"56","Take a load off ","SIT"
"57","Specks of land ","ISLETS"
"58","Fly-by-night? ","REDEYE"
"59","Raison ___ ","DETRE"
"60","Goof (around) ","CLOWN"
"61","Like some floors ","TILED"
"62","Fare for regular folks? ","BRAN"
"63","Durbeyfield lass ","TESS"
"64","Plaintive cry ","MEW"
"65","Yankee's foe ","REB"
