"","clues","answers"
"1","Cheap wheels, perhaps ","USEDCAR"
"2","Afghan power ","TALIBAN"
"3","Wigged out ","GONEAPE"
"4","Going-away request ","WRITEME"
"5","Jazz trumpeter Sandoval and others ","ARTUROS"
"6","Peter and Annette of film ","OTOOLES"
"7","Response to a polite refusal / (next line) It's spelled out in a Tammy Wynette hit ","IINSIST"
"8","""Steady ___ goes"" ","ASSHE"
"9","Looks for oneself, in a way ","EGOSURFS"
"10","___ motel ","NOTELL"
"11","What a walk in the ballpark will get you / (next line) It's spelled out in an Aretha Franklin hit ","ONEBASE"
"12","Cold showers ","SLEETS"
"13","Help board a plane, say ","ASSISTON"
"14","Young partner / (next line) It's spelled out in a Travis Tritt hit ","ERNST"
"15","Connecticut city on the Quinnipiac River ","MERIDEN"
"16","Hard work ","TRAVAIL"
"17","Pull off ","EXECUTE"
"18","It's not for big shots ","MINICAM"
"19","Electrical device that may blow ","SPEAKER"
"20","Paul Anka hit with a rhyming title ","ESOBESO"
"21","Salsa quality ","HOTNESS"
"22","Beginning ","GENESIS"
"23","Like part of Lake Victoria ","UGANDAN"
"24","Not losing well ","SORE"
"25","Interweave ","ENTWIST"
"26","Te ___ ","DEUM"
"27","Niña or Pinta ","CARAVEL"
"28","""There's ___ of gold ..."" ","APOT"
"29","Do some farrier's work on ","RESHOE"
"30","Club not seen much nowadays ","TWOIRON"
"31","Class for budding painters ","ARTI"
"32","Den member ","LIONCUB"
"33","Midori and Lance ","ITOS"
"34","Creed ","BELIEFS"
"35","___ Straw Poll ","AMES"
"36","Get a home in order ","NEST"
"37","A bit, informally ","SORTA"
"38","Gown go-with ","HEELS"
"39","Enter the draft, maybe ","GOPRO"
"40","Matches ","SEES"
"41","Hot Wheels product ","RACER"
"42","Small paving stones ","SETTS"
"43","Military transports: Abbr. ","LSTS"
"44","It runs by the White House ","ESTREET"
"45","Sorry bunch? ","ATONERS"
"46","Asian land where French is widely spoken ","LEBANON"
"47","Fire starter? ","STELMOS"
"48","Nog flavorer ","NUTMEG"
"49","Netting ","MESH"
"50","Big show ","EXPO"
"51","Confident cry ","ICAN"
"52","Nantes seasons ","ETES"
"53","""All ___!"" (court cry) ","RISE"
"54","General feeling ","VIBE"
"55","Former capital of Romania ","IASI"
