"","clues","answers"
"1","Go bad ","ROT"
"2","___ Coeur, Mo. ","CREVE"
"3","Hayes in the Rock and Roll Hall of Fame ","ISAAC"
"4","""Well, looky here!"" ","OHO"
"5","Fuel carrier at sea ","OILER"
"6","___ toast ","MELBA"
"7","Betting game in which you could lose your shirt ","STRIPPOKER"
"8","One who's constantly talking smack ","HATER"
"9","Brooklyn basketball team ","THENETS"
"10","Shaped like grapes ","OVATE"
"11","Time away from the grind, for short ","RANDR"
"12","Film cast and crew celebration ","WRAPPARTY"
"13","Insolent manner ","ATTITUDE"
"14","Secondary schools in France ","LYCEES"
"15","Approach ","GONEAR"
"16","Aid in making a pompadour ","GEL"
"17","Almost twins ... as suggested by this puzzle's circled squares? ","TWOPEASINAPOD"
"18","[head slap] ","DOH"
"19","Smooth, in music ","LEGATO"
"20","Like some writing of Anaïs Nin ","EROTIC"
"21","Adkins, for Adele ","LASTNAME"
"22","Tickets for shorter lines, good seats, backstage access, etc. ","VIPPASSES"
"23","Thespian ","ACTOR"
"24","What might be taken to go? ","EXLAX"
"25","The speed of sound ","MACHONE"
"26","Lofty abode ","AERIE"
"27","Some old mobile devices ","FLIPPHONES"
"28","A.F.C. East athlete, for short ","NYJET"
"29","Disney princess with ""a dreamy far-off look, and her nose stuck in a book"" ","BELLE"
"30","One arguing in court: Abbr. ","ATT"
"31","Bookish sorts ","NERDS"
"32","Twiddled one's thumbs ","IDLED"
"33","Sch. with a campus in Shreveport ","LSU"
"34","Platforms for speakers ","ROSTRA"
"35","Words following ""Which thing?"" ","OHTHAT"
"36","Sign in an apartment window ","TORENT"
"37","Signature feature of a Duracell battery ","COPPERTOP"
"38","Total hoot ","RIOT"
"39","Fraternal group with a mammalian name ","ELKS"
"40","Peace sign shape ","VEE"
"41","Slip-up ","ERROR"
"42","""OK by me"" ","IMHAPPY"
"43","Largest airport in the Pacific Northwest ","SEATAC"
"44","Ziggy Stardust vis-à-vis David Bowie ","ALTEREGO"
"45","Midge Maisel's father on ""The Marvelous Mrs. Maisel"" ","ABE"
"46","Garage occupant ","CAR"
"47","Dye for denim ","INDIGO"
"48","Kilmer of ""Top Gun"" ","VAL"
"49","Sneaky sorts ","WEASELS"
"50","Peeved, with ""off"" ","TEED"
"51","Fashion inits. ","YSL"
"52","French article ","UNE"
"53","""What's the big ___?"" ","DEAL"
"54","Latvia's capital ","RIGA"
"55","Doughnut shapes, mathematically ","TORI"
"56","Burger King offering ","WHOPPERJR"
"57","""Old Town Road"" rapper Lil ___ X ","NAS"
"58","Stuck on ","ATTACHED"
"59","Lightweight rainwear ","PONCHO"
"60","Patel of ""Slumdog Millionaire"" ","DEV"
"61","Moved on the tarmac ","TAXIED"
"62","Places to be marooned ","ISLETS"
"63","Farm-share program, for short ","CSA"
"64","Lacking a key, in music ","ATONAL"
"65","""Woman With a Parasol"" and ""Impression, Sunrise"" ","MONETS"
"66","Move around, with ""about"" ","MILL"
"67","Raggedy ___ ","ANN"
"68","Word before dropper or popper ","EYE"
"69","Spearheaded ","LED"
