"","clues","answers"
"1","Sports surprise ","UPSET"
"2","Rather ","ABIT"
"3","Supply with merchandise ","STOCK"
"4","Executes ","DOES"
"5","It's measured in watts ","POWER"
"6","""Nonsense!"" ","BOSH"
"7","Tonkin city ","HANOI"
"8","Opposite of exo- ","ENDO"
"9","Gig for Domingo ","OPERA"
"10","Eddie Rabbitt hit? ","HARECOMESTHESUN"
"11","Before marriage ","NEE"
"12","""Let's Make a Deal"" option ","DOOR"
"13","Entangle ","RAVEL"
"14","Longtime Susan Lucci daytime role ","ERICA"
"15","His and her ","THEIR"
"16","Like a horse ","MANED"
"17","Fraternity unit ","CHAPTER"
"18","Beleaguer ","ASSAIL"
"19","Purple with anger ","LIVID"
"20","Shpoke like thish ","SLURRED"
"21","Treat with contempt ","SCORN"
"22","German spa ","BADEN"
"23","Old radio's ""___the Magician"" ","CHANDU"
"24","Radio format ","TALK"
"25","Snoop Doggy Dogg hit? ","MYDINGOLING"
"26","Scuttlebutt ","DIRT"
"27","You can dig it ","ORE"
"28","Marketing data ","SALES"
"29","Meditation system ","ZEN"
"30","Victors' cry ","WEWON"
"31","One-millionth of a meter ","MICRON"
"32","Mom-and-pop enterprise ","STORE"
"33","Expired ","RANOUT"
"34","Persian Gulf country ","KUWAIT"
"35","Use the bean ","THINK"
"36","Brawn ","MUSCLE"
"37","Pablo of musical fame ","CASALS"
"38","Fall in folds ","DRAPE"
"39","Conviction ","BELIEF"
"40","Of service ","UTILE"
"41","Fact finisher ","OID"
"42","Unseasoned ","GREEN"
"43","To a great extent ","FAR"
"44","Eat like a bird ","PECK"
"45","Byrds hit? ","OWLBEAROUND"
"46","Asian expanse ","GOBI"
"47","Region of Greece and Turkey ","THRACE"
"48","Rochester's boss, in old TV ","BENNY"
"49","Augment ","ENHANCE"
"50","Middie opponent ","CADET"
"51","Straw bed ","PALLET"
"52","Record holders ","SLEEVES"
"53","Polite refusal ","NOSIR"
"54","Green sauce ","PESTO"
"55","Swift's ""___of a Tub"" ","ATALE"
"56","Cobbler, at times ","SOLER"
"57","Butter ","GOAT"
"58","Org. for Tyson ","WBA"
"59","Monkees hit? ","GORILLAMYDREAMS"
"60","Significant person? ","OTHER"
"61","Mars, in combinations ","AREO"
"62","Hardhearted ","CRUEL"
"63","Manitoba native ","CREE"
"64","Barely audible ","FAINT"
"65","Forsaken ","LORN"
"66","Easily confused ","DITSY"
"67","Look after ","TEND"
"68","Exhaust emanation ","FUMES"
"69","Topping ","UPON"
"70","John, Paul or John Paul ","POPE"
"71","Country Joe and the Fish hit? ","SWEETSOLEMUSIC"
"72","Perpetually, poetically ","EER"
"73","Car price factor ","TRADEIN"
"74","Execrate ","ABHOR"
"75","Hog wild? ","BOAR"
"76","Leb. neighbor ","ISR"
"77","Poem mentioning ""the lost Lenore"" ","THERAVEN"
"78","More than jostled ","SHOVED"
"79","Broke, in a way ","TAMED"
"80","""The___lama..."" ","ONEL"
"81","Popular comedian, briefly ","COS"
"82","Young beaver ","KIT"
"83","Corey Hart hit? ","DEERPRUDENCE"
"84","Kind of inspection ","ONSITE"
"85","Brought out ","EDUCED"
"86","Sub detector ","SONAR"
"87","Singapore punishment ","CANING"
"88","Got wind of ","HEARD"
"89","Driveway stain ","OIL"
"90","Listen ","HARK"
"91","Some skirts ","MIDIS"
"92","MacGregor, for one ","CLAN"
"93","Put up ","HUNG"
"94","About ","ASTO"
"95","Vaccination reminder ","SCAR"
"96","Weighed down ","LADEN"
"97","Stand out ","SHINE"
"98","One way to choose ","BYLOT"
"99","Bob Cratchit, e.g. ","CLERK"
"100","Stratosphere layer ","OZONE"
"101","Los Lobos hit? ","IWOLFFOLLOWHIM"
"102","Libertine ","ROUE"
"103","Charge letters ","TNT"
"104","Do to do ","SCALE"
"105","Stayed at home ","WASIN"
"106","Cat Stevens hit? ","IWALKTHELION"
"107","Elm offering ","SHADE"
"108","Dope on a horse ","TIP"
"109","Wielded the scepter ","RULED"
"110","Jackson or Smith ","KATE"
"111","Chief's followers ","TRIBE"
"112","Word of choice? ","MEENY"
"113","Eight fluid ounces ","CUP"
"114","""Vita"" describer ","DOLCE"
"115","Main force ","BRUNT"
"116","Dead duck ","GONER"
"117","Skillful ","ABLE"
"118","Haymarket Square event ","RIOT"
"119","English Channel feeder ","ORNE"
"120","G.I. Janes ","WACS"
"121","Put-down artist ","ABASER"
"122","Change the course of ","REDIRECT"
"123","Shekels ","GELT"
"124","Noted writer-statesman ","HAVEL"
"125","Thrown away ","CASTOFF"
"126","La corrida combatant ","ELTORO"
"127","More imminent ","NEARER"
"128","Without emotion ","COLDLY"
"129","Podded plant ","PEA"
"130","""Married...With Children"" co-star ","SAGAL"
"131","""The Highwayman"" poet ","NOYES"
"132","Set forth ","POSED"
"133","Blue books? ","SMUT"
"134","Feds ","GMEN"
"135","Pop music's ___King ","BENE"
"136","Liberal pursuits ","ARTS"
"137","Calculator part: Abbr. ","LCD"
"138","Model for filmdom's ""The Greek Tycoon"" ","ARI"
"139","Auxiliary verb ","ARE"
"140","Cross type ","TAU"
