"","clues","answers"
"1","Meager ","SLIM"
"2","Pen name ","BIC"
"3","Tried to lose? ","ATELESS"
"4","Mediocre ","BLAH"
"5","Hawaiian winter wind ","KONA"
"6","She danced with John in ""Pulp Fiction"" ","UMA"
"7","Woman in Charles's life ","CAMILLA"
"8","Relaxation ","EASE"
"9","Start of a quip ","IFIHADANICKELFOR"
"10","Mysterious character ","RUNE"
"11","They let you know you're wanted ","PAGERS"
"12","Solar system mockup ","ORRERY"
"13","Vacillated ","WAVERED"
"14","Abundance ","STORE"
"15","Tykes ","WEEUNS"
"16","The other team in ""Damn Yankees"" ","SENATORS"
"17","Homer Simpson's exclamation ","DOH"
"18","Ike's command: Abbr. ","ETO"
"19","Inheritance? ","TRAIT"
"20","Dickens the sketchwriter ","BOZ"
"21","Suffix with macro- ","COSM"
"22","As soon as ","ONCE"
"23","C's in shop class? ","CLAMPS"
"24","Town SE of Bakersfield, Calif. ","TEHACHAPI"
"25","Scepter adornment ","ORB"
"26","Family ","ILK"
"27","Zulus, e.g. ","BANTUS"
"28","Political practice, perhaps ","ISM"
"29","Forster's ""___ With a View"" ","AROOM"
"30","Gull ","DECEIVE"
"31","Asia Minor region ","AEOLIA"
"32","Like a banshee ","GAELIC"
"33","Without ","NEEDING"
"34","Gone by ","OFOLD"
"35","Tolkien tree-man ","ENT"
"36","Article in El Pais ","UNA"
"37","Citric cooler ","ADE"
"38","Addams Family member ","GRANDMAMA"
"39","Painter Anthony Van ___ ","DYCK"
"40","Spread out ","SOWN"
"41","Calendar units: Abbr. ","YRS"
"42","Unsurprising ","USUAL"
"43","Japanese honorific ","SAN"
"44","Ilex, for one ","OAK"
"45","Noted site of foreign study ","SORBONNE"
"46","Kind of train ","LIONEL"
"47","Nearly sacrificed son ","ISAAC"
"48","Expurgated, with ""up"" ","CLEANED"
"49","""Tobacco Road"" father Jeeter ___ ","LESTER"
"50","Actress Dolores ","DELRIO"
"51","Plant-growth retardant ","ALAR"
"52","Bean town? ","LIMA"
"53","More blackened ","SOOTIER"
"54","Animation unit ","CEL"
"55","Take out of context? ","DELE"
"56","Secretary, for one ","DESK"
"57","Lev Bronstein's alias ","TROTSKY"
"58","Fire ","AXE"
"59","Tried to beat the tag ","SLID"
"60","Captains, informally ","SKIPS"
"61","O.K. for the diet-conscious ","LOFAT"
"62","Architect Jones ","INIGO"
"63","""Politically Incorrect"" host ","MAHER"
"64","Chums ","BUDS"
"65","Lakeside sight ","CANOE"
"66","Build up ","ACCRUE"
"67","Enjoyed ","TAKENTO"
"68","The Sage of Concord ","EMERSON"
"69","Easter emblem ","LILY"
"70","Toymaker, maybe ","ELF"
"71","Largo, vis-à-vis presto ","SLOWER"
"72","Adirondack lake ","SARANAC"
"73","Big pistol manufacturer ","BERETTA"
"74","""Roots"" Emmy winner ","ASNER"
"75","Follows ","HEEDS"
"76","Cézanne's ""Boy in ___ Vest"" ","ARED"
"77","Madness? ","IRE"
"78","Colorado resort ","VAIL"
"79","Horse's halter ","WHOA"
"80","Cordwood measure ","STERE"
"81","Publisher Adolph ","OCHS"
"82","Tolerate ","BEAR"
"83","""Oops!"" ","OHNO"
"84","Did some scouting ","SPIED"
"85","Impart erroneously ","MISCONVEY"
"86","They're on top of things ","COVERINGS"
"87","""The Drew Carey Show"" woman ","MIMI"
"88","Entreaty ","PLEA"
"89","As yet unscheduled: Abbr. ","TBA"
"90","Dense clouds ","CUMULI"
"91","Fetched, to a hillbilly ","BRANG"
"92","Free-for-all ","MELEE"
"93","Duck ","EVADE"
"94","Nevertheless ","YET"
"95","Wedding vow infinitive ","TOHOLD"
"96","Bennett song start ","ILEFTMY"
"97","Vladivostok villa ","DACHA"
"98","Nouvelle Calédonie, e.g. ","ILE"
"99","Thrice daily, in pharm. ","TID"
"100","Preface ","INTRO"
"101","Jets or Sharks ","GANG"
"102","Makeup lessons?: Abbr. ","ANAT"
"103","Gen. Bradley ","OMAR"
"104","Flees ","LAMS"
"105","Modern-day evidence ","DNA"
"106","Clear the tables ","BUS"
"107","Mix up ","ADDLE"
"108","Writer Quindlen ","ANNA"
"109","Sans pass ","AWOL"
"110","""Chacun ___ goût"" ","ASON"
"111","""The Screwtape Letters"" writer ","CSLEWIS"
"112","Name in Chinese history ","KAISHEK"
"113","Multipurpose conjunction ","AND/OR"
"114","One with a lot of paperwork ","NOTARY"
"115","Ukraine's capital ","KIEV"
"116","Almost boil ","SCALD"
"117","Stan's pal ","OLLIE"
"118","Lots and lots ","REAMS"
"119","Bottom line ","NET"
"120","""All My Children"" role ","ERICA"
"121","Coasters ","SLEDS"
"122","Synthetic fiber ","ARNEL"
"123","Garlicky mayonnaise ","AIOLI"
"124","Intimidated ","COWED"
"125","Trent of the Senate ","LOTT"
"126","Lowland ","DALE"
"127","Spell ","HEX"
