"","clues","answers"
"1","Wide open, as the mouth ","AGAPE"
"2","Treaties ","PACTS"
"3","""What ___ I say?"" ","CAN"
"4","""Whoa, ease up!"" ","RELAX"
"5","Made-up story ","LIE"
"6","*Government's credit limit ","DEBTCEILING"
"7","Hubbub ","ADO"
"8","Like many infield grounders ","ONEHOP"
"9","Lester Holt and Anderson Cooper ","NEWSMEN"
"10","Issa ___ of HBO's ""Insecure"" ","RAE"
"11","Smith or Scialfa of rock ","PATTI"
"12","Vienna's home: Abbr. ","AUS"
"13","*Beanbag juggled with the feet ","HACKYSACK"
"14","Massage intensely ","ROLF"
"15","Put on a black coat? ","TAR"
"16","Guarantee ","ASSURE"
"17","Great Plains tribe ","OTOE"
"18","""Start the music!"" ... or what one could do to the finish of the answer to each starred clue ","HITIT"
"19","Vaping device, informally ","ECIG"
"20","Full-time resident of a college community ","TOWNIE"
"21","""___ you through?"" ","ARE"
"22","Belles at balls, informally ","DEBS"
"23","* &check; ","CHECKMARK"
"24","""The ___ & Stimpy Show"" ","REN"
"25","Labor organizer Chávez ","CESAR"
"26","Resort with mineral waters ","SPA"
"27","Like a gift from above ","GODSENT"
"28","Reproductive part of a flower ","PISTIL"
"29","*Much-visited site in Jerusalem ","WESTERNWALL"
"30","Sleuth, in slang ","TEC"
"31","Bury, as ashes ","INURN"
"32","Girl Scout cookie with a geographical name ","SAMOA"
"33","Cry of fright ","EEK"
"34","Barely warm ","TEPID"
"35","""E"" on a gas gauge ","EMPTY"
"36","Intense devotion ","ARDOR"
"37","Actress Davis of ""The Accidental Tourist"" ","GEENA"
"38","Edward who wrote ""Who's Afraid of Virginia Woolf?"" ","ALBEE"
"39","Trail ","PATH"
"40","Onetime police officer ","EXCOP"
"41","Dish made from taro root ","POI"
"42","None's opposite ","ALL"
"43","Medical facility ","CLINIC"
"44","Fork prong ","TINE"
"45","Motorized two-wheelers ","SEGWAYS"
"46","*Seafood topping that may be red or white ","CLAMSAUCE"
"47","Assistant ","AIDE"
"48","Illuminating gas ","NEON"
"49","Org. concerned with ecosystems ","EPA"
"50","Figured (out) ","SUSSED"
"51","Language in Bangkok ","THAI"
"52","Served raw, as steak ","TARTARE"
"53","McKinnon of ""S.N.L."" ","KATE"
"54","Place for a baby to sleep ","CRIB"
"55","Beer barrels ","KEGS"
"56","Military program for coll. students ","ROTC"
"57","""Alternatively ...,"" in texts ","OTOH"
"58","*Part of a ship just above the hold ","LOWERDECK"
"59","Practices épée, e.g. ","FENCES"
"60","Not us ","THEM"
"61","Ticks off ","IRKS"
"62","""No surprise to me!"" ","IKNEWIT"
"63","Develops a glitch ","ACTSUP"
"64","First full month of Major League Baseball, often: Abbr. ","APR"
"65","Get the suds out ","RINSE"
"66","Post office purchase ","STAMP"
"67","Person in a cockpit ","PILOT"
"68","Ease, as fears ","ALLAY"
"69","Concert proceeds ","GATE"
"70","Double-curved molding ","OGEE"
"71","State bird of Hawaii ","NENE"
"72","Did a backstroke, say ","SWAM"
"73","Prefix with state ","TRI"
"74","Conclusion ","END"
