"","clues","answers"
"1","___ Beach, city near San Luis Obispo ","PISMO"
"2","Hide ","BURY"
"3","""It follows that ..."" ","ERGO"
"4","Totally stoked ","AMPED"
"5","Metro ___ ","AREA"
"6","Naughty look, maybe ","PEEK"
"7","U.S. city known to some locals as Siqnazuaq ","NOME"
"8","Girl's name that sounds like French for ""she has it"" ","ELLA"
"9","Microscopic, informally ","EENSY"
"10","Starting words at many a sporting event? ","OSAY"
"11","Rich soil ","LOAM"
"12","""To Kill a Mockingbird"" author ","LEE"
"13","One on probation, maybe ","TYRO"
"14","In this matter ","HERETO"
"15","Flop ","DUD"
"16","What lemon adds to a dish, in food lingo ","ACID"
"17","""I won't miss it"" ","NOLOSS"
"18","Take off ","SOAR"
"19","Kerfuffle ","ADO"
"20","Answer to one spelling of the riddle ","THISNEWSPAPER"
"21","Similar ","AKIN"
"22","Author of the quote ""I am not what you call a civilized man!"" ","VERNE"
"23","All the ___ ","RAGE"
"24","Answer to another spelling of the riddle ","ASUNBURNEDPANDA"
"25","Locks in the stable? ","MANE"
"26","Dark genre ","NOIR"
"27","Where Rosalind becomes Ganymede, in Shakespeare ","ARDEN"
"28","Plunks (down) ","PUTS"
"29","Head-turning night fliers ","OWLS"
"30","Detroit's county ","WAYNE"
"31","Hostage ","PAWN"
"32","Modern ""methinks"" ","IMHO"
"33","Filter target ","SPAM"
"34","Luminary in a late-night show? ","METEOR"
"35","Has more than enough, briefly ","ODS"
"36","Home is one corner in it ","BALLYARD"
"37","Russian river ","URAL"
"38","Special election ","RECALL"
"39","Gab ","YAK"
"40","Time-sensitive items ","EPHEMERA"
"41","Santa's deer leader? ","REIN"
"42","Savvies ","GETS"
"43","___-dokey ","OKEY"
"44","Like a rat's eyes ","BEADY"
"45","Drive drunkenly, say ","WEAVE"
"46","Box ___ ","SEAT"
"47","""Wow!"" ","OOH"
"48","One of the men on ""Two and a Half Men"" ","ALAN"
"49","Fictional character who says ""I am not what you call a civilized man!"" ","NEMO"
"50","Handled, with ""with"" ","DEALT"
"51","No-goodnik ","LOUSE"
"52","Sports segment that often includes highlights ","RECAP"
"53","'Bama, with ""the"" ","TIDE"
"54","Cleaner's target ","ODOR"
"55","Artist Vermeer ","JOHANNES"
"56","Violet Crawley of ""Downton Abbey,"" and others ","DOWAGERS"
"57","Elvis's ""Viva Las Vegas,"" recordwise ","SIDEB"
"58","Fed. stipend ","SSI"
"59","Established the price of ","ASKED"
"60","Sch. near Albany, N.Y. ","RPI"
"61","Constrained ","NARROW"
"62","Site of the Museum of Anatolian Civilizations ","ANKARA"
"63","Seductress ","VAMP"
"64","Genesis man ","ESAU"
"65","Little sucker? ","RUNT"
"66","Blue dye source ","ANIL"
"67","May race, informally ","INDY"
"68","Genesis place ","EDEN"
"69","Weather indicator ","VANE"
"70","Start for a Spanish count ","UNO"
"71","Manhandle ","PAW"
