"","clues","answers"
"1","Zebras on the gridiron ","REFS"
"2","Examine, slangily, with ""out"" ","SCOPE"
"3","Puppy sounds ","YIPS"
"4","He sang about Alice ","ARLO"
"5","Imitated a crow ","CAWED"
"6","""The ___ Love"" (R.E.M. hit) ","ONEI"
"7","Comical Highlanders? ","GAELSOFLAUGHTER"
"8","Belfry spots ","STEEPLES"
"9","Yellow parts ","YOLKS"
"10","Harris and Bradley ","EDS"
"11","Former frosh ","SOPH"
"12","Acts like a mother hen ","FUSSES"
"13","Clear soup ","CONSOMME"
"14","Prank ","ANTIC"
"15","Biblical name for Syria ","ARAM"
"16","Bumper sticker letters ","AAA"
"17","Proofreaders from Prague? ","CZECHSFORERRORS"
"18","Cause for overtime ","TIE"
"19","Like much of Poe's work ","EERIE"
"20","Pass receiver ","SPLITEND"
"21","Your parents' music ","OLDIES"
"22","Wished undone ","RUED"
"23","Part of T.G.I.F.: Abbr. ","FRI"
"24","Brilliance ","ECLAT"
"25","Give comfort to ","REASSURE"
"26","Beachgoers from northern Spain? ","BASQUESINTHESUN"
"27","Naysayer ","ANTI"
"28","Be dependent ","RELY"
"29","Capone's nemesis ","NESS"
"30","Spud ","TATER"
"31","Carpet layer's calculation ","AREA"
"32","Tramp's attire ","RAGS"
"33","Part of Q.E.D. ","ERAT"
"34","Go on the lam ","FLEE"
"35","Dover ___ ","SOLE"
"36","Dresses down ","SCOLDS"
"37","Sidewalk eateries ","CAFES"
"38","Birds in barns ","OWLS"
"39","Prankster's projectile ","PEA"
"40","Univ. e-mail ending ","EDU"
"41","Part of a pirate's refrain ","YOHOHO"
"42","Like J.F.K. Airport ","INTL"
"43","Cheat, in a way ","PEEK"
"44","They're dubbed ","SIRS"
"45","Address ","SPEECH"
"46","Pulls a fast one on ","GYPS"
"47","Takes wing ","SOARS"
"48","""This one's ___"" ","ONME"
"49","Almanac stuff ","FACTS"
"50","Open, as a jacket ","UNZIP"
"51","Girder composition ","STEEL"
"52","[not my error] ","SIC"
"53","Three, they say ","CROWD"
"54","Early New Zealander ","MAORI"
"55","Donny's sister ","MARIE"
"56","Comforts ","EASES"
"57","""I bid you ___ farewell"" ","AFOND"
"58","Graf ___ ","SPEE"
"59","Really enjoy ","RELISH"
"60","Flushed ","RED"
"61","Basra residents ","IRAQIS"
"62","""Swan Lake"" attire ","TUTU"
"63","Demosthenes, e.g. ","ORATOR"
"64","Thief's customer ","FENCE"
"65","Israel's Abba ","EBAN"
"66","Chaplin prop ","CANE"
"67","D-Day craft ","LSTS"
"68","Knee-slapper ","RIOT"
"69","Hospital fluids ","SERA"
"70","Terminal man? ","USER"
"71","Hold sway ","RULE"
"72","""Orinoco Flow"" singer ","ENYA"
"73","Polish off ","EAT"
"74","Diminutive, in Dundee ","SMA"
