"","clues","answers"
"1","Stared stupidly ","GAPED"
"2","Light bulb units ","WATTS"
"3","Sweetums ","HON"
"4","Simple counters ","ABACI"
"5","Potato growers' home ","IDAHO"
"6","Big galoot ","APE"
"7","Convince a G.I.? ","SELLSOLDIER"
"8","Cause to fret ","VEX"
"9","Peruvian range ","ANDES"
"10","Not naked ","DECENT"
"11","Was dependent ","RELIED"
"12","Bunt result, maybe ","BASEHIT"
"13","Like the Wolfman ","HAIRY"
"14","It goes under a top ","BRA"
"15","""The Republic"" philosopher ","PLATO"
"16","Work units ","ERGS"
"17","Secure position ","FOOTHOLD"
"18","Baseball bat wood ","ASH"
"19","Random attack ","POTSHOT"
"20","Evidence in a paternity suit ","DNA"
"21","No pieces of cake ","TOUGHIES"
"22","Masterstroke ","COUP"
"23","Water balloon sound ","SPLAT"
"24","Wind up or down ","END"
"25","Tropical lizard ","GECKO"
"26","""As Good As It Gets"" film studio ","TRISTAR"
"27","Hit on the noggin ","BONKED"
"28","Gymnast Mary Lou ","RETTON"
"29","Go-between ","AGENT"
"30","Frequently, in verse ","OFT"
"31","Refuse to work on the weekend? ","SITSATURDAY"
"32","Actor Billy ___ Williams ","DEE"
"33","Gives off ","EMITS"
"34","Hosiery shade ","TAUPE"
"35","Blunder ","ERR"
"36","""Belling the Cat"" author ","AESOP"
"37","Casino array ","SLOTS"
"38","Burner fuel ","GAS"
"39","Justice Fortas ","ABE"
"40","Chum ","PAL"
"41","Elongated pastries ","ECLAIRS"
"42","Mickey Mouse operation? ","DISNEY"
"43","Sly trick ","WILE"
"44","Tacks on ","ADDS"
"45","Mai ___ ","TAI"
"46","Bara of old films ","THEDA"
"47","Touchy subject ","SORESPOT"
"48","Dine on some fish? ","HAVEHADDOCK"
"49","Gift-giver's urging ","OPENIT"
"50","Abutting ","NEXTTO"
"51","Uneven? ","ODD"
"52","Unit in a terrorist organization ","CELL"
"53","Perlman of ""Cheers"" ","RHEA"
"54","Corn units ","EARS"
"55","Burn trash? ","LIGHTLITTER"
"56","Washed ","BATHED"
"57","Irritate ","BOTHER"
"58","Violinist's application ","ROSIN"
"59","London forecast ","FOG"
"60","Sounds from Santa ","HOS"
"61","Set sail ","PUTTOSEA"
"62","Microwave, slangily ","NUKE"
"63","Like two peas in ___ ","APOD"
"64","Hops-drying oven ","OAST"
"65","Like some air-conditioning ","CENTRAL"
"66","Walked briskly ","STRODE"
"67","Like better ","PREFER"
"68","Rant and rave ","GONUTS"
"69","Japanese cartoon art ","ANIME"
"70","Track action ","BET"
"71","Concerning ","ASTO"
"72","[You don't mean ...!] ","GASP"
"73","Rejoinder to ""'tain't!"" ","TIS"
"74","Dynamic ___ ","DUO"
"75","Quick to learn ","APT"
"76","Thumbs-up response ","YES"
