"","clues","answers"
"1","Fuel efficiency letters ","MPG"
"2","They may join in a circle ","ARCS"
"3","Big-box hardware chain ","LOWES"
"4","""That's it!"" ","AHA"
"5","Model Campbell ","NAOMI"
"6","Cricket fields and badminton racket heads, for two ","OVALS"
"7","Punishes ","DISCIPLINES"
"8","Interrupt ... or what to do as you enter the answer to the previous clue ","CUTIN"
"9","Aptly named ski town in Utah ","ALTA"
"10","Stop the clock ","CALLTIME"
"11","Compact disc? ","MIRROR"
"12","Hot spot in the afternoon, say ","TEA"
"13","I.C.U. specialists ","RNS"
"14","Backed financially ","SUPPORTED"
"15","Prep for surgery ... or what to do as you enter the answer to the previous clue ","SCRUBUP"
"16","Multiple of one? ","TWIN"
"17","City whose name is Siouan for ""good place to dig potatoes"" ","TOPEKA"
"18","Primitive kind of diet ","PALEO"
"19","Subject of job offer negotiations ","PAY"
"20","They get high twice a day ","TIDES"
"21","Actress Munn ","OLIVIA"
"22","One of Alcott's Little Women ","BETH"
"23","Workplace with no commute ","HOMEOFFICE"
"24","Leave ... or what to do as you enter the answer to the previous clue ","TAKEOFF"
"25","Constellation next to Ursa Major ","LEO"
"26","Prefix with skeleton ","EXO"
"27","Hagia ___ (World Heritage Site in Istanbul) ","SOPHIA"
"28","Concession stand morsel ","RAISINET"
"29","One of the pounds in a pound cake ","EGGS"
"30","Brazenly disregarding ","FLOUTING"
"31","Flail at home plate ... or what to do as you enter the answer to the previous clue ","STRIKEOUT"
"32","""Heaven forbid!"" ","GODNO"
"33","Pledge drive bags ","TOTES"
"34","Gold in them thar hills, e.g. ","ORE"
"35","Promise ","SWEAR"
"36","Home to the oldest continuously operating university in the Americas ","PERU"
"37","Retreat ","DEN"
"38","Sophisticated ladies ","MADAMS"
"39","Queen Elizabeth's husband ","PHILIP"
"40","Prefix with -pod ","GASTRO"
"41","Alex and ___ (jewelry brand) ","ANI"
"42","Affiliated group of M.C.s, as for Death Row Records ","RAPCREW"
"43","Rum mixer ","COLA"
"44","Refine, in a way ","SMELT"
"45","Plot points? ","LOCI"
"46","Fallopian tube traveler ","OVUM"
"47","Something to sleep on with no springs ","WATERBED"
"48","Country's ___ Young Band ","ELI"
"49","Only four-ninths of it is usually shown: Abbr. ","SSN"
"50","Lands in the ocean ","ISLES"
"51","Media journalist David ","CARR"
"52","It's said to be ""the art of recognizing when to be big and when not to belittle"" ","TACT"
"53","Quickly heat up, in a way ","NUKE"
"54","Yellow Pages section after ""Sound Systems"" ","SPAS"
"55","Dramatic tango move ","DIP"
"56","Abstract Expressionist Mark ","ROTHKO"
"57","Snag ","NAB"
"58","Four-time Hugo Award winner Frederik ","POHL"
"59","Potted ornamental ","ALOE"
"60","Prom night booking ","LIMORIDE"
"61","Biblical progenitor ","EVE"
"62","""And ___ …"" ","YET"
"63","Super-duper ","ACES"
"64","Better prepared, perhaps ","TASTIER"
"65","Just be oneself ","EXIST"
"66","Sport in which you could use some pointers? ","EPEE"
"67","""Great to hear!"" ","OHGOOD"
"68","Reckon ","FIGURE"
"69","Secure ","FASTEN"
"70","In first place ","ONTOP"
"71","Psychoanalyst Freud, daughter of Sigmund ","ANNA"
"72","Marty Feldman's role in ""Young Frankenstein"" ","IGOR"
"73","Big name in Art Deco ","ERTE"
"74","N.F.L. three-pointers: Abbr. ","FGS"
"75","Temperature extreme ","LOW"
