"","clues","answers"
"1","Party line? ","HAVENTWEMET"
"2","Over ","ONEMORETIME"
"3","Over: Prefix ","EPI"
"4","As is ","WARTSANDALL"
"5","Burmese opposition leader Aung ___ Suu Kyi ","SAN"
"6","Recognition response ","AHA"
"7","Feminine side ","YIN"
"8","Causing a rise? ","YEASTY"
"9","Shred ","REND"
"10","""The League of Extraordinary Gentlemen"" captain ","NEMO"
"11","Double crossed? ","XDOUT"
"12","Pranks ","DIDOS"
"13","Massenet opera ","ROMA"
"14","Prefix with pad ","HELI"
"15","Finger-pointer ","UNCLESAM"
"16","Producer of funny pages? ","GAGWRITER"
"17","Man of steel ","JPMORGAN"
"18","Could possibly be ","SEEMS"
"19","___ Islands, west of Ireland ","ARAN"
"20","Is short ","OWES"
"21","Rocks ","STUNS"
"22","Brings up, in a way ","MINES"
"23","Chick follower ","ADEE"
"24","Fit to serve ","ONEA"
"25","Weigh ","PONDER"
"26","George Strait's ""All My ___ Live in Texas"" ","EXS"
"27","Lead investigator?: Abbr. ","DET"
"28","Son: Spanish :: ___ : English ","ARE"
"29","Admiral who went to an extreme? ","ROBERTPEARY"
"30","HQ ","CTR"
"31","Movie based on the book ""Do Androids Dream of Electric Sheep?"" ","BLADERUNNER"
"32","Floors ","KOS"
"33","Concertgoers getting into the hits? ","SLAMDANCERS"
"34","Washington, D.C., university ","HOWARD"
"35","Place for a wicker chair ","VERANDA"
"36","Possible defib performer ","EMT"
"37","Too interested ","NOSY"
"38","Wedding trailer ","TRAIN"
"39","Rock and Roll Hall of Fame co-founder and inductee ","WENNER"
"40","Station abbr. ","ETD"
"41","Gone but not forgotten: Abbr. ","MIA"
"42","""Little"" girl in ""David Copperfield"" ","EMLY"
"43","Obsolete communication ","TELEX"
"44","Plaster preparations ","GESSOES"
"45","Grilling aid ","SPATULA"
"46","Novelty singer born Herbert Khaury ","TINYTIM"
"47","Follow ","ADHERETO"
"48","Blamed ","DOGGONED"
"49","Sat shiva, say ","MOURNED"
"50","Hotel chain ","OMNI"
"51","Brand ","SEAR"
"52","Isn't idle ","ACTS"
"53","Brand kept near a toaster ","EGGO"
"54","Remains ","LEES"
"55","Guitar effect ","WAWA"
"56","Really fill ","JAMPACK"
"57","Preceding ","PRIORTO"
"58","Good things to bring to the table ","MANNERS"
"59","Household ","MUNDANE"
"60","Snob, maybe ","SNEERER"
"61","Steam ","SEERED"
"62","Butterflies with eyespots on their wings ","SATYRS"
"63","Rulers of the Nemanjic dynasty, e.g. ","SERBS"
"64","Bit of gravy ","EXTRA"
"65","Take a turn, in some games ","ROLL"
"66","Took a turn, in some games ","SPUN"
"67","Something heard in a herd ","BAA"
"68","Teacher's deg. ","EDM"
"69","Ltr. accompanier ","ENC"
