"","clues","answers"
"1","Remain ","LAST"
"2","Feeling down ","BLUE"
"3","___ Anderson, Super Bowl XXV M.V.P. ","OTTIS"
"4","Kentucky senator Paul ","RAND"
"5","Start of an old Army recruiting line ","BEALL"
"6","""After the maid cleans out the ___ ___ going to polish the fireplace doors"" ","ASHESSHES"
"7","Zombies might be on it ","BARTAB"
"8","Caste member ","ANT"
"9","""The note accompanying the ___ ___ that all money should go to charity"" ","ESTATESSTATES"
"10","Relax ","REST"
"11","Sorority letters ","TAUS"
"12","Take ___ (lose one) ","AHIT"
"13","Accept a contract ","SIGN"
"14","Long-legged waders ","EGRETS"
"15","""The reporter heard the New York ___ ___ his coach"" ","ISLANDERSLANDER"
"16","""___ Nacht"" (Christmas carol) ","STILLE"
"17","One-quarter of ""Whose woods these are I think I know"" ","IAMB"
"18","Club for knights ","MACE"
"19","Alone, on the stage ","SOLA"
"20","""At the organic market, the price of ___ ___ from moderate to ridiculous"" ","ORANGESRANGES"
"21","Penny collector ","JAR"
"22","John, to Paul, George or Ringo ","LOO"
"23","Young salmon ","SMOLTS"
"24","""The teacher found that ___ ___-a-longs helped her pupils remember their ABCs"" ","USINGSING"
"25","Rocky ridge ","ARETE"
"26","Tex-Mex fare ","TACO"
"27","""___ that cute?!"" ","ISNT"
"28","""___ to you!"" ","HERES"
"29","Whizzed ","SPED"
"30","Hwys. ","RTES"
"31","Lith. and Lat., once ","SSRS"
"32","Tennis player, at times ","LOBBER"
"33","Loose ","ATEASE"
"34","Turns over, as an engine ","STARTS"
"35","Fight with ","TILTAT"
"36","Part of a two-piece suit? ","BRA"
"37","___ Cruces ","LAS"
"38","Doffs one's lid ","UNHATS"
"39","Plant swelling ","EDEMA"
"40","Went over again ","REHASHED"
"41","Welcoming customers ","OPEN"
"42","""Hey there!"" ","PSST"
"43","Blind component ","SLAT"
"44","Rode the pine ","SAT"
"45","Happen ","BETIDE"
"46","Graybearded sort ","SAGE"
"47","Stirring time? ","SUNRISE"
"48","Make ","EARN"
"49","Suffix with magnet ","ITE"
"50","Old Dungeons & Dragons co. ","TSR"
"51","Weekly NBC staple, for short ","SNL"
"52","Glue brand ","ELMERS"
"53","Flap one's gums ","GAB"
"54","Suffix with magnet ","ISM"
"55","End of the line, say: Abbr. ","STA"
"56","Center of Good & Plenty candy ","LICORICE"
"57","Tiger, e.g., informally ","ALER"
"58","Lip ","SASS"
"59","Self-promoter ","EGOIST"
"60","Sounds from barracks, maybe ","SNORES"
"61","Lascivious lookers ","OGLERS"
"62","Evaluate ","ASSESS"
"63","Class with many functions: Abbr. ","ALG"
"64","Response to a general question? ","NOSIR"
"65","Asian nanny ","AMAH"
"66","Sticks (out) ","JUTS"
"67","P.D.Q. ","ASAP"
"68","Bobblehead movement ","NOD"
"69","Houston-to-Chicago dir. ","NNE"
"70","Some muscle cars ","GTS"
