"","clues","answers"
"1","Cry after ""Forward!"" ","MARCH"
"2","Solder ","WELD"
"3","Belgrade native ","SERB"
"4","Central Florida city ","OCALA"
"5","Words of understanding ","ISEE"
"6","Peter, Paul and Mary, e.g. ","TRIO"
"7","Holiday decoration ","CHRISTMASWREATH"
"8","Retain ","KEEP"
"9","Numbered work of a composer ","OPUS"
"10","""Come in!"" ","ENTER"
"11","Preservers of preserves ","JARS"
"12","""This looks bad!"" ","OHNO"
"13","Cleopatra's lover ","ANTONY"
"14","Hissy fit ","SNIT"
"15","Air blower ","FAN"
"16","Like a pitcher's perfect game ","NOHIT"
"17","Flub ","GOOF"
"18","Look into a crystal ball ","GAZE"
"19","Holiday decoration ","KWANZAAUNITYCUP"
"20","Fabric fuzz ","LINT"
"21","Memo opener ","INRE"
"22","U-turn from WSW ","ENE"
"23","Assns. ","ORGS"
"24","Frigate or ferry ","VESSEL"
"25","Fleeting trace ","WISP"
"26","Neat ","TIDY"
"27","Offspring ","SCION"
"28","Butcher's cut ","LOIN"
"29","Shopping place ","MART"
"30","Holiday decoration ","HANUKKAHMENORAH"
"31","Abbr. before a colon ","ATTN"
"32","Feed the kitty ","ANTE"
"33","Make amends ","ATONE"
"34","General emotional state ","MOOD"
"35","Some boxing decisions, briefly ","TKOS"
"36","Snapshot ","PHOTO"
"37","Make fun of ","MOCK"
"38","Liniment target ","ACHE"
"39","Like one in a million ","RARE"
"40","Business that routinely overcharges ","CLIPJOINT"
"41","Possesses ","HAS"
"42","Ones likely to chicken out ","WIMPS"
"43","Biblical pottage purchaser ","ESAU"
"44","First chapter in a primer ","LESSONONE"
"45","Morning moisture ","DEW"
"46","Shorthand pro ","STENO"
"47","The ""E"" in Q.E.D. ","ERAT"
"48","Baptism or bar mitzvah ","RITE"
"49","Danish Nobelist Niels ","BOHR"
"50","British Conservative ","TORY"
"51","What homeowners don't have to pay ","RENT"
"52","Site for a monitoring bracelet, maybe ","ANKLE"
"53","Hopeless, as a situation ","NOWIN"
"54","Feudal landholder ","THANE"
"55","Whiskey drinks ","SOURS"
"56","Confronts ","FACES"
"57","Sky-blue ","AZURE"
"58","View from Mount Everest ","NEPAL"
"59","Ship-to-shore accessway ","GANGPLANK"
"60","Insect whose larvae destroy foliage ","GYPSYMOTH"
"61","Broadcasts ","AIRS"
"62","___ the line (behaved) ","TOED"
"63","Pig's sound ","OINK"
"64","Handful for Tarzan ","VINE"
"65","Coiled ","WOUND"
"66","Multiplied by ","TIMES"
"67","Pillow cover ","SHAM"
"68","Famed Roman censor ","CATO"
"69","Diggin' ","INTO"
"70","""___ be in England"": Browning ","OHTO"
"71","Suffix with buck ","AROO"
"72","Long, angry discourse ","RANT"
"73","Lt. Kojak ","THEO"
"74","Krazy ___ of the comics ","KAT"
"75","Doze ","NAP"
