"","clues","answers"
"1","Redeemable recyclables ","EMPTYCANS"
"2","Military hqtrs.: Abbr. ","CMD"
"3","Like some glasses, in a phrase ","HALFEMPTY"
"4","""The Pearl Fishers"" composer ","BIZET"
"5","Yokohama yes ","HAI"
"6","In progress ","AFOOT"
"7","Eyes ","OCULI"
"8","Nods, perhaps ","OKS"
"9","Gen-___ ","XER"
"10","Cheese dish ","RAREBIT"
"11","Orch. section ","STR"
"12","Green condiment ","WASABI"
"13","Actress Grant ","LEE"
"14","Fair ","SOSO"
"15","Eye-opener? ","ALARM"
"16","___ avis ","RARA"
"17","""Two Women"" actress ","LOREN"
"18","Precept ","TENET"
"19","Loses ignominiously, on a game show ","LEAVESEMPTYHANDED"
"20","___ Systems, computer networking giant ","CISCO"
"21","Green sauce ","PESTO"
"22","A long time ago ","ONCE"
"23","Wild West brothers ","EARPS"
"24","Its motto is ""Equality before the law"": Abbr. ","NEBR"
"25","""___ virtute me involvo"": Horace ","MEA"
"26","Entirely ","INTOTO"
"27","Lampshade shade, perhaps ","ECRU"
"28","One way to pick things up, for short ","ESP"
"29","Path to enlightenment ","ZEN"
"30","Minutemen of the Atlantic Ten Conf. ","UMASS"
"31","""Catch my drift?"" ","DIG"
"32","Vermont ski resort ","OKEMO"
"33","Father figure? ","PADRE"
"34","Brit. medal ","DSO"
"35","Heavy weightlifters, maybe ","HEMEN"
"36","Older couple's home, often ","EMPTYNEST"
"37","Legis. title ","SEN"
"38","Moving aids, or a hint to this puzzle's theme ","EMPTYBOXES"
"39","Originator of the phrase ""Let the punishment fit the offense"" ","CICERO"
"40","Cool shades ","AZURES"
"41","First word of Dante's ""Inferno"" ","NEL"
"42","Roil ","STIR"
"43","They often have four parts ","CHORALES"
"44","Pledges, but not really ","MAKESANEMPTYPROMISE"
"45","Oust from practice ","DISBAR"
"46","It touches the Atlantic O. ","AFR"
"47","Metropolis gal ","LOISLANE"
"48","Promoted ","FOSTERED"
"49","Statement not to worry about ","EMPTYTHREAT"
"50","Sentient ","AWARE"
"51","Its name is also its N.Y.S.E. symbol ","IBM"
"52","Assuage ","SOLACE"
"53","Fixed up ","REDONE"
"54","Ab ___ (from the beginning) ","OVO"
"55","Big bang producer ","TNT"
"56","One involved in a faceoff ","LINESMAN"
"57","Bit of mischief ","ESCAPADE"
"58","Geometrical figure ","HEPTAGON"
"59","Part of Nasdaq: Abbr. ","ASSOC"
"60","Fail, as in a search ","COMEUPEMPTY"
"61","Tolkien creature ","ENT"
"62","Conflicting ","ATODDS"
"63","Itch's cause ","ECZEMA"
"64","German port town ","BREMEN"
"65","Push ahead, despite exhaustion ","RUNONEMPTY"
"66","""The stage ___"" ","ISSET"
"67","Christmas sound ","HOHO"
"68","A.C.T. takers ","SRS"
"69","Scope ","KEN"
