"","clues","answers"
"1","Deg. for a museum worker ","BFA"
"2","Loll ","LOAF"
"3","Elapse ","PASSBY"
"4","Dashboard part ","OILGAUGE"
"5","Musical run with four sharps ","ESCALE"
"6","Part played by women and girls? ","XXFACTOR"
"7","Have hot cocoa on a winter day, say ","WARMUP"
"8","U.S. president with a Nobel Peace Prize ","CARTER"
"9","Take a breath ","RESPIRE"
"10","Had for dinner ","ATE"
"11","Blue ___ (Duke mascot) ","DEVIL"
"12","Use a lot? ","PARK"
"13","Overhaul ","REDO"
"14","Area below ""To:"" in an email? ","CCSECTION"
"15","Land in a Beatles song ","USSR"
"16","Tide alternative ","ALL"
"17","""Ghost"" psychic Oda ___ Brown ","MAE"
"18","Battery size ","AAA"
"19","""This round's ___"" ","ONME"
"20","Group of buildings housing a King? ","BBCOMPLEX"
"21","Recedes ","EBBS"
"22","What Lot's wife became ","SALT"
"23","Common bacterium ","ECOLI"
"24","Go bad ","ROT"
"25","""Sure, that works"" ","OKFINE"
"26","Harrowing experience ","ORDEAL"
"27","Lover of Cummings's poetry? ","EEREADER"
"28","Sasha ___, Beyoncé's alter ego ","FIERCE"
"29","Speedster's undoing ","RADARGUN"
"30","Owns (up to) ","FESSES"
"31","Money to belong ","DUES"
"32","Green-minded org. ","EPA"
"33","Freight train part ","BOXCAR"
"34","Dwell (on) ","FIXATE"
"35","Bruce Wayne's butler ","ALFRED"
"36","Intertwined ","LACED"
"37","Eccentric ","OUTRE"
"38","""Million Years ___"" (Adele song) ","AGO"
"39","Irony? ","FERRIC"
"40","Places for parishioners ","PEWS"
"41","""Now!"" ","ASAP"
"42","Libretto, for example ","SCRIPT"
"43","Horse with evenly mixed black-and-white hairs ","BLUEROAN"
"44","""Indeedy"" ","YEP"
"45","Gang pistol, in old slang ","GAT"
"46","Jewelry designer Peretti ","ELSA"
"47","Obsolescent TV attachment ","VCR"
"48","Place to bounce a baby ","KNEE"
"49","Panache ","ELAN"
"50","Quahog or geoduck ","CLAM"
"51","Where clothes often rip ","SEAM"
"52","Trade ","SWAP"
"53","Nasty comments ","JABS"
"54","Pan creator ","JMBARRIE"
"55","Island group in the Aegean Sea ","CYCLADES"
"56","Spike who directed ""BlacKkKlansman"" ","LEE"
"57","Smart fellow? ","ALEC"
"58","Tic-tac-toe loser ","OXO"
"59","Bewhiskered mammals ","OTTERS"
"60","___ College, liberal arts school in St. Petersburg, Fla. ","ECKERD"
"61","Study, informally ","BONEUP"
"62","Chest bones ","STERNA"
"63","Feminist writer Audre ","LORDE"
"64","Giant furniture stores ","IKEAS"
"65","Tempo ","PACE"
"66","Hoppy mediums? ","ALES"
"67","What's found in the French rivière? ","EAU"
