"","clues","answers"
"1","Home to Queen Sonja ","OSLO"
"2","Feather's partner ","TAR"
"3","Short fly ball ","BLOOP"
"4","""Well done!"" ","GOOD"
"5","Part of a house that projects ","EAVE"
"6","""___ a Grand Old Flag"" ","YOURE"
"7","Campus area for amorous students? ","RANDYQUAD"
"8","Common spreadsheet program ","EXCEL"
"9","Barely got ","EKEDOUT"
"10","Reporter's non-W query ","HOW"
"11","Plot turner ","HOE"
"12","S.E.C. school near Atlanta, for short ","UGA"
"13","Manages ","COPES"
"14","Flutterer around Orange County and L.A.? ","SOCALBUTTERFLY"
"15","Holed, as a putt ","SANK"
"16","Rent out ","LET"
"17","Where Seoul and Pyongyang are ","KOREA"
"18","Groan-worthy remark, say ","PUN"
"19","Unable to see ... or, when taken as a homophone, what today's puzzle answers and clues all are ","EYELESS"
"20","Rock concert need ","AMP"
"21","Lagoon surrounder ","ATOLL"
"22","Beverage that may be labeled ""XXX"" ","ALE"
"23","Layers of dark green eggs ","EMUS"
"24","Put-down to someone from Manhattan or the Bronx? ","NEWYORKSLANDER"
"25","Horse genus ","EQUUS"
"26","Spun trap ","WEB"
"27","Cause of Cleopatra's death ","ASP"
"28","Large coffee vessel ","URN"
"29","Judge's voluntary removal from a case ","RECUSAL"
"30","James who wrote ""Ulysses"" ","JOYCE"
"31","Marathons, way back when? ","GREEKRUNS"
"32","Edge of a green ","APRON"
"33","Dear, as a memory ","FOND"
"34","Butler who frequented Tara ","RHETT"
"35","Game that has Draw Two and Reverse cards ","UNO"
"36","""On the double!"" ","STAT"
"37","Shrek, for one ","OGRE"
"38","Boozehound ","SOAK"
"39","___ Star State ","LONE"
"40","Unusual sort ","ODDDUCK"
"41","Not at all lax ","TAUT"
"42","Gardner who played the Barefoot Contessa ","AVA"
"43","Extremely popular ","REDHOT"
"44","When N.F.L. teams don't have to play ","BYEWEEKS"
"45","Salty bagel topper ","LOX"
"46","""That hurts!"" ","OUCH"
"47","Snack that's often pulled apart ","OREO"
"48","One-named soccer star ","PELE"
"49","Just as much ","EQUALLY"
"50","What could make you take a deep breath ","YOGA"
"51","___-out clause ","OPT"
"52","Buccaneer's sword ","CUTLASS"
"53","""No seats left"" letters at a theater ","SRO"
"54","Pan-fry ","SAUTE"
"55","Currently watchable ","ONNOW"
"56","Nectar collector ","BEE"
"57","Set up ","FRAME"
"58","Creature from Madagascar ","LEMUR"
"59","Talks, talks, talks ","YAPS"
"60","Extend across ","SPAN"
"61","Well-spoken ","ELOQUENT"
"62","Many an annex ","ELL"
"63","Japanese salad green ","SEAWEED"
"64","Soapmaker's supply ","LYE"
"65","Co-star of H'wood's ""The Brothers McMullen"" ","EDBURNS"
"66","Capek play that debuted the word ""robot"" ","RUR"
"67","Means of self-defense ","KUNGFU"
"68","Adam's apple locale ","NECK"
"69","Not fully closed ","AJAR"
"70","End for Joan of Arc ","PYRE"
"71","Former attorney general Janet ","RENO"
"72","Food for a woodpecker ","SUET"
"73","Ballet dancer Pavlova ","ANNA"
"74","Kaplan course subj. ","LSAT"
"75","Barracks bed ","COT"
"76","Weasley of the Harry Potter books ","RON"
