"","clues","answers"
"1","Some dash mounts ","CAMS"
"2","Prepare for the long haul? ","GASUP"
"3","Juul, e.g. ","VAPE"
"4","First person? ","ADAM"
"5","Cropped up ","AROSE"
"6","Puerto ___ ","RICO"
"7","Condition better known as anemia ","TIREDBLOOD"
"8","Kibitzing passenger ","BACKSEATDRIVER"
"9","With it, in old slang ","HEP"
"10","Two-syllable cheer ","OLE"
"11","Glistens with shimmering colors ","IRIDESCES"
"12","Jazz style that influenced the Beat Generation ","BEBOP"
"13","Mauna ___ ","LOA"
"14","TV addict ","COUCHPOTATO"
"15","Baseball stats ","OUTS"
"16","Disney princess who shares a name with a Shakespeare character ","ARIEL"
"17","The ""A"" of M.M.A. ","ARTS"
"18","Blabbing informant ","STOOLPIGEON"
"19","Prey of a murder hornet ","BEE"
"20","Best Comeback Athlete, for one ","ESPYAWARD"
"21","Abbreviation that can replace an ellipsis ","ETC"
"22","Courtly title ","SIR"
"23","Dilettantish know-it-all ","ARMCHAIREXPERT"
"24","Hercules on his first labor, or Hemingway on safari ","LIONHUNTER"
"25","Nobel laureate Wiesel ","ELIE"
"26","Golden calf, e.g. ","IDOL"
"27","World of Warcraft enthusiast, for one ","GAMER"
"28","Bone on the pinkie side of the forearm ","ULNA"
"29","Courtly title ","LADY"
"30","Flexible Flyer products ","SLEDS"
"31","Products of Always or Stayfree ","PADS"
"32","Low-___ diet ","CARB"
"33","Espressos ""stained"" with a bit of milk ","MACCHIATOS"
"34","Like some salmon and turkey ","SMOKED"
"35","Airplane ticket info ","GATE"
"36","Las Vegas resort with a musical name ","ARIA"
"37","Ilk ","SORT"
"38","Like thrift shop wares ","USED"
"39","""Pain and Glory"" director Almodóvar ","PEDRO"
"40","Kraft product ","VELVEETA"
"41","Soothing succulent ","ALOE"
"42","Not up to expectations ","POOR"
"43","Word after business or bitter ","END"
"44","Frodo's first cousin (mother's side) and second cousin (father's side) ","BILBO"
"45","De-tailed detail? ","SPEC"
"46","Runner-up's rueful report ","ILOST"
"47","Road trip plan ","ROUTE"
"48","Dial or Tone ","SOAP"
"49","Modern health risks, for short ","ECIGS"
"50","Animal that's known to enjoy water slides ","OTTER"
"51","Asked, as a question ","POSED"
"52","Stratagem ","PLOY"
"53","How presidents swear when taking the oath of office ","SOLEMNLY"
"54","Door fastener ","LATCH"
"55","Clean, as with a paper towel ","WIPEUP"
"56","Drinks down heartily ","CHUGS"
"57","Church cross ","ROOD"
"58","Overly fussy, informally ","ANAL"
"59","""I'm just like that,"" in modern lingo ","ITME"
"60","Slender plant ","REED"
"61","Misses the mark ","ERRS"
"62","Cocktail garnish ","RIND"
"63","Oolong and Darjeeling ","TEAS"
