"","clues","answers"
"1","Century, for one ","FONT"
"2","Skip over water, as stones ","DAP"
"3","""Brr-r-r!"" ","IMCOLD"
"4","""Huzzah!"" ","OLE"
"5","Descriptor for olde England ","MERRIE"
"6","Show inattention, say ","DOZE"
"7","Pince-___ ","NEZ"
"8","Bold ","BRAZEN"
"9","What Set committed when he slew Osiris ","DEICIDE"
"10","""M.Y.O.B."" ","BUTTOUT"
"11","Sea urchin, at a sushi bar ","UNI"
"12","Woodstock artist who performed while six months pregnant ","BAEZ"
"13","They're hooked up to breathing tubes ","SNORKELERS"
"14","Initial offer? ","CAIN"
"15","British paper vendor ","NEWSAGENT"
"16","Ultimate ","ACME"
"17","Littoral eagle ","ERNE"
"18","Displayed conspicuously ","OOZED"
"19","Weapon in Clue ","PIPE"
"20","Bygone Chevy subcompact ","AVEO"
"21","Like Baha'i houses of worship ","NINESIDED"
"22","Slit made with a saw ","KERF"
"23","How zombies act ","MINDLESSLY"
"24","Author Grey ","ZANE"
"25","""Life doesn't imitate ___, it imitates bad television"": Woody Allen ","ART"
"26","Member of the buttercup family ","ANEMONE"
"27","""The spur of industry,"" per David Hume ","AVARICE"
"28","Skink, e.g. ","LIZARD"
"29","New York's Tappan ___ Bridge ","ZEE"
"30","Sea of ___, outlet of the Don River ","AZOV"
"31","Difficult kind of push-up ","ONEARM"
"32","Colloquial denial ","NOPE"
"33","Some statuary ","TORSOS"
"34","Diva's accessory ","BOA"
"35","Certain panegyrics ","ODES"
"36","Fictional rabbit hunter ","FUDD"
"37","Historical buffalo hunter ","OTOE"
"38","""Judgment at Nuremberg"" defendant ","NAZI"
"39","One way to turn a ship ","ALEE"
"40","Kind of dispenser ","PEZ"
"41","Steeps ","IMBUES"
"42","Suffix with theo- ","CRAT"
"43","Little pasta ","ORZO"
"44","Place ","LIEU"
"45","It might be hammered out ","DENT"
"46","""___ Dinka Doo"" (Durante tune) ","INKA"
"47","Lift others' spirits? ","BARTEND"
"48","Petroleum ether ","BENZINE"
"49","One not to be trusted ","SNEAK"
"50","Pluck ","NERVE"
"51","Manual reader, maybe ","OWNER"
"52","Having a sense of pride? ","LEONINE"
"53","Etching supplies ","ACIDS"
"54","Get going ","IMPEL"
"55","Clinging, say ","NEEDY"
"56","Antivenins, e.g. ","SERA"
"57","Little green ones come from Mars ","MANDMS"
"58","Subject of this puzzle ","ZORRO"
"59","Often ","ALOT"
"60","Young muchacho ","NINO"
"61","Israel's Weizman ","EZER"
"62","Goat sounds ","MAAS"
"63","Designed to minimize drag ","AERO"
"64","Lacoste competitor ","IZOD"
"65","Hack it ","COPE"
"66","Brinks ","EVES"
"67","""The Waltons"" grandpa ","ZEB"
