"","clues","answers"
"1","First name in folk ","JONI"
"2","Florida city, informally ","BOCA"
"3","Operating ","INUSE"
"4","Send off ","EMIT"
"5","Team encouragement ","RAHS"
"6","Area of South Africa ","NATAL"
"7","""Little House on the Prairie,"" e.g. ","SAGA"
"8","Turner and Eisenhower ","IKES"
"9","Back slap? ","SPANK"
"10","Island attire ","SARONG"
"11","Warden's fear ","RIOT"
"12","Zilch ","ZERO"
"13","Character ","AROMA"
"14","Lacking width and depth ","ONED"
"15","Giant constellation south of Canis Major ","ARGO"
"16","Express ","AVER"
"17","Old Greek theaters ","ODEA"
"18","In ___ (uncomfortably placed) ","ASPOT"
"19","Storyteller's link ","THEN"
"20","Architect Saarinen ","EERO"
"21","Piece of street art ","MURAL"
"22","Prefix with resin ","OLEO"
"23","Cameo, e.g. ","ROLE"
"24","Round window in a frieze ","OXEYE"
"25","Turtledove ","DEAR"
"26","Reply to an explanation ","ISEE"
"27","Excited, with ""up"" ","KEYED"
"28","Clever ","DEFT"
"29","Cracks ","JESTS"
"30","Where Fred and Adele Astaire were born ","OMAHA"
"31","River to the Gulf of Guinea ","NIGER"
"32","Mussolini's air marshal ___ Balboa ","ITALO"
"33","Kind of loan ","BRIDGE"
"34","Tasting of wood, as some spirits ","OAKY"
"35","Sergeant's badge ","CHEVRON"
"36","Very, in music ","ASSAI"
"37","As found ","INSITU"
"38","Piles ","NAPS"
"39","Thoughtful ","SANE"
"40","Group with a clock in its emblem ","ELKS"
"41","Down Under soldier ","ANZAC"
"42","___ guerre ","NOMDE"
"43","It has two shoulders but no head ","ROAD"
"44","""Darn!"" ","RATS"
"45","Party pooper ","DRIP"
"46","Kellogg Company brand ","EGGO"
"47","Pull (out) ","ROOT"
"48","Not care ___ ","ARAP"
"49","Speeds (up) ","REVS"
"50","Observe ","OBEY"
"51","Grand Marquis, for short ","MERC"
"52","""Well, Did You ___?"" (Cole Porter query) ","EVAH"
"53","Murmured ","COOED"
"54","Certain dressing ","RANCH"
"55","Stars on stage ","ETOILES"
"56","Followed orders ","HEELED"
"57","Military leaders? ","ESCORT"
"58","Deeply irritating ","ACRID"
"59","Honker ","GOOSE"
"60","Staff leader? ","GCLEF"
"61","Some shooting ","SKEET"
"62","Crazily ","AMOK"
"63","Splendor ","LUXE"
"64","Norse god of peace ","FREY"
"65","Zany Martha ","RAYE"
"66","Blended items ","TEAS"
